locus	chr	start	stop	n_snps	n_pcs	phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p
40	1	43512670	45167235	2197	207	LBD_chia2021	UC_delange2017	0.158378	-0.19672	0.52367	0.0250836	0	0.2743	0.356759
40	1	43512670	45167235	2197	207	PD_nalls2019	SCZ_pardinas2018	-0.16061	-0.47206	0.12106	0.0257955	0	0.22284	0.252489
40	1	43512670	45167235	2197	207	PD_nalls2019	UC_delange2017	-0.0972669	-0.37279	0.16812	0.00946085	0	0.13929	0.455334
40	1	43512670	45167235	2197	207	SCZ_pardinas2018	UC_delange2017	-0.18255	-0.6717	0.2498	0.0333247	0	0.45367	0.384421
57	1	66778016	67761890	1882	131	CD_delange2017	PD_nalls2019	0.179212	0.01228	0.34656	0.032117	0.00057	0.12011	0.0351489
57	1	66778016	67761890	1882	131	CD_delange2017	UC_delange2017	0.851298	0.78719	0.91177	0.724709	0.61966	0.83132	1.88668e-46
57	1	66778016	67761890	1882	131	PD_nalls2019	UC_delange2017	0.163554	-0.02756	0.3523	0.0267499	0	0.12412	0.0955151
58	1	67761891	68633860	1358	170	CD_delange2017	PD_nalls2019	-0.0048538	-0.13223	0.12405	2.35594e-05	0	0.02154	0.939919
58	1	67761891	68633860	1358	170	CD_delange2017	UC_delange2017	0.800172	0.70486	0.89223	0.640274	0.49682	0.79608	7.56109e-24
58	1	67761891	68633860	1358	170	PD_nalls2019	UC_delange2017	0.102381	-0.05338	0.2575	0.0104819	0	0.0663	0.193988
62	1	72513120	73992170	1566	58	PD_nalls2019	SCZ_pardinas2018	0.284481	-0.13369	0.71979	0.0809295	0	0.51809	0.167069
63	1	73992171	75132092	1554	106	ALS_vanrheenen2021	PD_nalls2019	0.330149	0.06007	0.64737	0.108998	0.00423	0.41909	0.0174725
63	1	73992171	75132092	1554	106	ALS_vanrheenen2021	SCZ_pardinas2018	-0.072315	-0.50941	0.35675	0.00522946	0	0.27752	0.725156
63	1	73992171	75132092	1554	106	PD_nalls2019	SCZ_pardinas2018	0.0787466	-0.1581	0.32095	0.00620103	0	0.10382	0.499414
73	1	84728348	86017267	2482	228	LBD_chia2021	MS_imsgc2019	-0.0781918	-0.40136	0.22974	0.00611396	0	0.16369	0.612705
73	1	84728348	86017267	2482	228	LBD_chia2021	PD_nalls2019	-0.00833462	-0.23064	0.21015	6.94659e-05	0	0.06464	0.939529
73	1	84728348	86017267	2482	228	MS_imsgc2019	PD_nalls2019	0.192999	0.01076	0.37707	0.0372486	0.00065	0.14218	0.0380237
81	1	92904466	94168576	1425	67	CD_delange2017	MS_imsgc2019	0.00984115	-0.38984	0.39719	9.68483e-05	0	0.19691	0.959044
81	1	92904466	94168576	1425	67	CD_delange2017	PD_nalls2019	-0.370067	-0.78426	0.00918	0.13695	0	0.61506	0.0564687
81	1	92904466	94168576	1425	67	MS_imsgc2019	PD_nalls2019	-0.143192	-0.42457	0.13894	0.0205038	0	0.18026	0.316974
83	1	95122542	96147576	2121	176	PD_nalls2019	SCZ_pardinas2018	0.339944	0.0581	0.65286	0.115562	0.00464	0.42622	0.0203361
85	1	97721187	99425000	2199	165	PD_nalls2019	SCZ_pardinas2018	0.077562	-0.11576	0.2779	0.00601587	0	0.07725	0.442424
88	1	101188316	102424611	2016	175	MS_imsgc2019	PD_nalls2019	0.205325	0.01726	0.39839	0.0421584	0.00089	0.15871	0.0363809
88	1	101188316	102424611	2016	175	MS_imsgc2019	SCZ_pardinas2018	0.866194	0.56292	1	0.750292	0.31687	1	2.66743e-06
88	1	101188316	102424611	2016	175	PD_nalls2019	SCZ_pardinas2018	-0.0033783	-0.27398	0.26786	1.14129e-05	0	0.10499	0.979445
100	1	113418038	114664387	1403	139	CD_delange2017	PD_nalls2019	0.360192	0.1441	0.59167	0.129738	0.02076	0.35007	0.00155887
102	1	116207298	117046311	1050	105	MS_imsgc2019	PD_nalls2019	-0.0778035	-0.56821	0.40162	0.00605339	0	0.35659	0.729096
103	1	117046312	118118667	1071	132	MS_imsgc2019	PD_nalls2019	-0.150658	-0.55803	0.22582	0.0226979	0	0.31437	0.420901
103	1	117046312	118118667	1071	132	MS_imsgc2019	UC_delange2017	0.16145	-0.28786	0.6069	0.026066	0	0.3744	0.442682
103	1	117046312	118118667	1071	132	PD_nalls2019	UC_delange2017	0.389106	-0.0274	0.89323	0.151404	0	0.79786	0.0656198
105	1	119408889	120345066	1133	151	MS_imsgc2019	PD_nalls2019	0.0343339	-0.21132	0.27251	0.00117882	0	0.07992	0.776945
109	1	149716038	151146407	1365	69	ALS_vanrheenen2021	PD_nalls2019	0.154122	-0.12005	0.43093	0.0237536	0	0.1858	0.261389
109	1	149716038	151146407	1365	69	ALS_vanrheenen2021	SCZ_pardinas2018	0.225733	-0.21828	0.69097	0.0509552	0	0.48019	0.295007
109	1	149716038	151146407	1365	69	PD_nalls2019	SCZ_pardinas2018	-0.039536	-0.37802	0.29631	0.00156309	0	0.15949	0.806784
110	1	151146408	152535630	958	120	CD_delange2017	PD_nalls2019	0.144414	-0.11481	0.41045	0.0208553	0	0.16847	0.271909
110	1	151146408	152535630	958	120	CD_delange2017	UC_delange2017	0.860187	0.58652	1	0.739921	0.344	1	2.38576e-05
110	1	151146408	152535630	958	120	PD_nalls2019	UC_delange2017	0.208565	-0.07689	0.50336	0.0434996	0	0.25337	0.14513
113	1	154685546	156813845	1789	222	CD_delange2017	LBD_chia2021	-0.444704	-0.80718	-0.13526	0.197761	0.01829	0.65153	0.00559964
113	1	154685546	156813845	1789	222	CD_delange2017	PD_nalls2019	-0.0469911	-0.2236	0.13179	0.00220816	0	0.0508	0.602909
113	1	154685546	156813845	1789	222	CD_delange2017	SCZ_pardinas2018	0.189678	-0.05893	0.44869	0.0359777	0	0.20132	0.135353
113	1	154685546	156813845	1789	222	CD_delange2017	UC_delange2017	0.604017	0.33743	0.86867	0.364836	0.11386	0.75458	0.000182704
113	1	154685546	156813845	1789	222	LBD_chia2021	PD_nalls2019	0.517021	0.30204	0.79187	0.267311	0.09123	0.62706	9.4577e-06
113	1	154685546	156813845	1789	222	LBD_chia2021	SCZ_pardinas2018	0.0504873	-0.27459	0.38107	0.00254897	0	0.1562	0.749164
113	1	154685546	156813845	1789	222	LBD_chia2021	UC_delange2017	-0.362495	-0.81205	0.00963	0.131402	0	0.65943	0.0601626
113	1	154685546	156813845	1789	222	PD_nalls2019	SCZ_pardinas2018	0.168537	-0.00145	0.34645	0.0284046	0	0.12003	0.0574956
113	1	154685546	156813845	1789	222	PD_nalls2019	UC_delange2017	-0.285631	-0.53271	-0.0638	0.0815849	0.00421	0.28378	0.0120082
113	1	154685546	156813845	1789	222	SCZ_pardinas2018	UC_delange2017	0.412005	0.1138	0.75122	0.169749	0.0133	0.56433	0.0079108
114	1	156813846	158081627	2081	187	ALS_vanrheenen2021	CD_delange2017	0.041862	-0.3242	0.40776	0.00175243	0	0.1939	0.811022
114	1	156813846	158081627	2081	187	ALS_vanrheenen2021	MS_imsgc2019	0.0665654	-0.30845	0.46591	0.00443095	0	0.22944	0.71679
114	1	156813846	158081627	2081	187	ALS_vanrheenen2021	PD_nalls2019	0.0231599	-0.33983	0.38636	0.000536379	0	0.18305	0.894494
114	1	156813846	158081627	2081	187	ALS_vanrheenen2021	SCZ_pardinas2018	-0.127399	-0.6494	0.35377	0.0162305	0	0.44133	0.5799
114	1	156813846	158081627	2081	187	CD_delange2017	MS_imsgc2019	-0.299474	-0.59535	-0.02984	0.0896847	0.00165	0.35444	0.032493
114	1	156813846	158081627	2081	187	CD_delange2017	PD_nalls2019	-0.0396674	-0.30433	0.22252	0.0015735	0	0.09713	0.762714
114	1	156813846	158081627	2081	187	CD_delange2017	SCZ_pardinas2018	-0.119637	-0.49876	0.24232	0.014313	0	0.25118	0.499274
114	1	156813846	158081627	2081	187	MS_imsgc2019	PD_nalls2019	0.205092	-0.06455	0.49297	0.0420626	0	0.24302	0.137947
114	1	156813846	158081627	2081	187	MS_imsgc2019	SCZ_pardinas2018	-0.414189	-0.88918	-0.05374	0.171552	0.00459	0.79063	0.0268668
114	1	156813846	158081627	2081	187	PD_nalls2019	SCZ_pardinas2018	-0.0415613	-0.42306	0.32498	0.00172734	0	0.19533	0.814301
117	1	159882516	161054076	1693	201	CD_delange2017	MS_imsgc2019	0.0500768	-0.23754	0.33825	0.00250769	0	0.12037	0.723123
117	1	159882516	161054076	1693	201	CD_delange2017	PD_nalls2019	-0.284796	-0.49673	-0.08341	0.081109	0.00702	0.24674	0.00558916
117	1	159882516	161054076	1693	201	CD_delange2017	UC_delange2017	0.629008	0.34091	0.92387	0.395651	0.11622	0.85353	0.000438386
117	1	159882516	161054076	1693	201	MS_imsgc2019	PD_nalls2019	0.134796	-0.05321	0.32937	0.0181699	0	0.10848	0.158723
117	1	159882516	161054076	1693	201	MS_imsgc2019	UC_delange2017	0.319529	-0.00272	0.66471	0.102099	0	0.44184	0.0517755
117	1	159882516	161054076	1693	201	PD_nalls2019	UC_delange2017	-0.0967737	-0.35604	0.14946	0.00936515	0	0.12708	0.428584
118	1	161054077	161945442	1312	123	CD_delange2017	MS_imsgc2019	0.278797	-0.12939	0.71698	0.0777278	0	0.51406	0.171421
118	1	161054077	161945442	1312	123	CD_delange2017	PD_nalls2019	-0.461903	-0.91811	-0.08848	0.213355	0.0092	0.84293	0.0183067
118	1	161054077	161945442	1312	123	CD_delange2017	UC_delange2017	0.835066	0.60263	1	0.697336	0.36317	1	1.81247e-06
118	1	161054077	161945442	1312	123	MS_imsgc2019	PD_nalls2019	0.0183373	-0.36692	0.41036	0.000336256	0	0.19705	0.921062
118	1	161054077	161945442	1312	123	MS_imsgc2019	UC_delange2017	0.238353	-0.07373	0.5537	0.0568122	0	0.30658	0.12676
118	1	161054077	161945442	1312	123	PD_nalls2019	UC_delange2017	-0.652105	-0.95443	-0.38606	0.425241	0.14904	0.91094	1.64132e-05
130	1	172465154	173582511	1364	157	CD_delange2017	PD_nalls2019	-0.0767781	-0.26302	0.10958	0.00589488	0	0.06934	0.421682
133	1	176449097	177746472	1503	136	PD_nalls2019	SCZ_pardinas2018	-0.0983939	-0.38034	0.18594	0.00968136	0	0.14492	0.483398
151	1	196179111	197935821	1507	71	CD_delange2017	PD_nalls2019	-0.327184	-0.66184	-0.01309	0.10705	0.00152	0.43803	0.042711
153	1	199263390	200134005	1918	108	PD_nalls2019	UC_delange2017	0.195538	-0.20562	0.64467	0.038235	0	0.41595	0.32677
154	1	200134006	201067952	1588	156	MS_imsgc2019	PD_nalls2019	-0.157948	-0.43535	0.11281	0.0249477	0	0.18953	0.24943
154	1	200134006	201067952	1588	156	MS_imsgc2019	SCZ_pardinas2018	0.0881164	-0.26311	0.43907	0.00776451	0	0.20098	0.611188
154	1	200134006	201067952	1588	156	MS_imsgc2019	UC_delange2017	0.762187	0.52386	1	0.58093	0.27442	1	2.13119e-07
154	1	200134006	201067952	1588	156	PD_nalls2019	SCZ_pardinas2018	0.0646031	-0.22916	0.35304	0.00417356	0	0.13168	0.654654
154	1	200134006	201067952	1588	156	PD_nalls2019	UC_delange2017	-0.156802	-0.39666	0.07897	0.024587	0	0.15734	0.183929
154	1	200134006	201067952	1588	156	SCZ_pardinas2018	UC_delange2017	0.108933	-0.19744	0.4209	0.0118664	0	0.17933	0.470732
158	1	205009624	205917548	1612	193	AD_schwartzentruber2021	ALS_vanrheenen2021	-0.267386	-0.75699	0.15217	0.0714951	0	0.57304	0.210193
158	1	205009624	205917548	1612	193	AD_schwartzentruber2021	PD_nalls2019	0.145073	-0.09634	0.40456	0.0210461	0	0.16367	0.234621
158	1	205009624	205917548	1612	193	AD_schwartzentruber2021	SCZ_pardinas2018	0.294823	-0.11422	0.73633	0.0869205	0	0.54218	0.144664
158	1	205009624	205917548	1612	193	AD_schwartzentruber2021	UC_delange2017	-0.103911	-0.49716	0.27114	0.0107974	0	0.25216	0.57407
158	1	205009624	205917548	1612	193	ALS_vanrheenen2021	PD_nalls2019	0.0725025	-0.16778	0.32073	0.00525661	0	0.10538	0.545201
158	1	205009624	205917548	1612	193	ALS_vanrheenen2021	SCZ_pardinas2018	-0.548101	-1	-0.18103	0.300415	0.03303	1	0.0055487
158	1	205009624	205917548	1612	193	ALS_vanrheenen2021	UC_delange2017	-0.193952	-0.58574	0.1739	0.0376175	0	0.34481	0.28317
158	1	205009624	205917548	1612	193	PD_nalls2019	SCZ_pardinas2018	-0.192818	-0.42221	0.01837	0.0371787	0	0.17826	0.0836004
158	1	205009624	205917548	1612	193	PD_nalls2019	UC_delange2017	0.180271	-0.01705	0.38174	0.0324977	0	0.14572	0.0704068
158	1	205009624	205917548	1612	193	SCZ_pardinas2018	UC_delange2017	-0.450633	-0.83448	-0.12067	0.20307	0.01477	0.69635	0.00825406
159	1	205917549	208162951	2093	204	AD_schwartzentruber2021	CD_delange2017	0.189399	-0.06445	0.45483	0.035872	0	0.20687	0.147281
159	1	205917549	208162951	2093	204	AD_schwartzentruber2021	PD_nalls2019	-0.0638128	-0.26991	0.13979	0.00407207	0	0.07326	0.538035
159	1	205917549	208162951	2093	204	AD_schwartzentruber2021	UC_delange2017	-0.0124799	-0.23801	0.21061	0.000155747	0	0.06562	0.91118
159	1	205917549	208162951	2093	204	CD_delange2017	PD_nalls2019	0.166966	-0.03691	0.37333	0.0278775	0	0.13938	0.109759
159	1	205917549	208162951	2093	204	CD_delange2017	UC_delange2017	0.677876	0.50813	0.85283	0.459517	0.2582	0.72732	1.0432e-08
159	1	205917549	208162951	2093	204	PD_nalls2019	UC_delange2017	0.118112	-0.0525	0.28963	0.0139504	0	0.08389	0.174821
189	1	238704858	239332148	1418	112	PD_nalls2019	SCZ_pardinas2018	0.154062	-0.11136	0.42773	0.0237351	0	0.183	0.241243
195	1	243048004	244723196	1448	177	PD_nalls2019	SCZ_pardinas2018	-0.177457	-0.38401	0.02669	0.0314909	0	0.14746	0.0849151
226	2	22429641	23538527	1719	172	PD_nalls2019	SCZ_pardinas2018	0.229903	0.00831	0.4548	0.0528553	0.00054	0.20684	0.0393003
228	2	24669225	25895394	1623	152	CD_delange2017	MS_imsgc2019	0.996013	0.74983	1	0.992042	0.56224	1	1.53613e-09
230	2	26894103	28819510	2261	188	CD_delange2017	PD_nalls2019	-0.204974	-0.39955	-0.01968	0.0420142	0.00099	0.15964	0.0356884
230	2	26894103	28819510	2261	188	CD_delange2017	SCZ_pardinas2018	0.0110467	-0.27094	0.28162	0.00012203	0	0.09929	0.93676
230	2	26894103	28819510	2261	188	PD_nalls2019	SCZ_pardinas2018	-0.101896	-0.31161	0.10394	0.0103828	0	0.0971	0.328499
248	2	43295777	44104110	1475	160	CD_delange2017	PD_nalls2019	0.0841021	-0.24395	0.41115	0.00707316	0	0.17559	0.599235
266	2	57952946	59251996	1718	184	PD_nalls2019	SCZ_pardinas2018	-0.102533	-0.30601	0.09617	0.0105129	0	0.09384	0.312818
268	2	60775067	62429910	2080	190	CD_delange2017	MS_imsgc2019	0.397992	0.05132	0.76849	0.158398	0.00435	0.59058	0.0237893
268	2	60775067	62429910	2080	190	CD_delange2017	PD_nalls2019	-0.0184002	-0.28399	0.24953	0.000338569	0	0.09507	0.890237
268	2	60775067	62429910	2080	190	CD_delange2017	SCZ_pardinas2018	-0.0990189	-0.51311	0.29725	0.00980475	0	0.27091	0.607196
268	2	60775067	62429910	2080	190	CD_delange2017	UC_delange2017	0.698439	0.47973	0.92824	0.487817	0.23014	0.86162	1.9048e-06
268	2	60775067	62429910	2080	190	MS_imsgc2019	PD_nalls2019	-0.164664	-0.43672	0.09534	0.0271143	0	0.19073	0.224234
268	2	60775067	62429910	2080	190	MS_imsgc2019	SCZ_pardinas2018	-0.0514925	-0.4668	0.34603	0.00265147	0	0.2394	0.791791
268	2	60775067	62429910	2080	190	MS_imsgc2019	UC_delange2017	0.570643	0.31265	0.85741	0.325633	0.09775	0.73515	6.33951e-05
268	2	60775067	62429910	2080	190	PD_nalls2019	SCZ_pardinas2018	-0.15176	-0.46995	0.14651	0.023031	0	0.2214	0.310937
268	2	60775067	62429910	2080	190	PD_nalls2019	UC_delange2017	-0.0723092	-0.2781	0.13766	0.00522862	0	0.07762	0.488566
268	2	60775067	62429910	2080	190	SCZ_pardinas2018	UC_delange2017	-0.469699	-0.82933	-0.17341	0.220617	0.03007	0.68779	0.00275632
271	2	64696090	65938002	1979	228	AD_schwartzentruber2021	CD_delange2017	-0.00953024	-0.37574	0.34934	9.08255e-05	0	0.17688	0.956853
271	2	64696090	65938002	1979	228	AD_schwartzentruber2021	PD_nalls2019	0.186979	-0.0203	0.40267	0.0349611	0	0.16215	0.0773393
271	2	64696090	65938002	1979	228	AD_schwartzentruber2021	UC_delange2017	-0.0488338	-0.43983	0.3317	0.00238474	0	0.2136	0.791809
271	2	64696090	65938002	1979	228	CD_delange2017	PD_nalls2019	-0.0617527	-0.30286	0.17241	0.0038134	0	0.09445	0.595593
271	2	64696090	65938002	1979	228	CD_delange2017	UC_delange2017	0.582162	0.233	0.94054	0.338913	0.0545	0.88462	0.00448357
271	2	64696090	65938002	1979	228	PD_nalls2019	UC_delange2017	0.231625	-0.01079	0.49897	0.05365	0	0.24898	0.0594214
274	2	67979829	68877774	1703	149	MS_imsgc2019	PD_nalls2019	0.100385	-0.19161	0.39957	0.0100771	0	0.15997	0.487524
278	2	72160303	73544290	1401	111	PD_nalls2019	SCZ_pardinas2018	0.221946	-0.01336	0.46322	0.0492601	0	0.21458	0.0669674
299	2	102494488	103305257	1620	127	CD_delange2017	PD_nalls2019	0.267905	0.006	0.5403	0.0717732	0.00109	0.29192	0.0495472
301	2	105120579	106546524	2713	241	AD_schwartzentruber2021	ALS_vanrheenen2021	-0.397781	-0.91309	0.01237	0.15823	0	0.83374	0.0553822
301	2	105120579	106546524	2713	241	AD_schwartzentruber2021	PD_nalls2019	0.18887	-0.16719	0.56697	0.0356718	0	0.32199	0.282556
301	2	105120579	106546524	2713	241	AD_schwartzentruber2021	UC_delange2017	-0.0603664	-0.52981	0.39789	0.00364411	0	0.3115	0.778937
301	2	105120579	106546524	2713	241	ALS_vanrheenen2021	PD_nalls2019	-0.159431	-0.55814	0.20261	0.0254182	0	0.31152	0.37408
301	2	105120579	106546524	2713	241	ALS_vanrheenen2021	UC_delange2017	0.244686	-0.2024	0.77613	0.0598715	0	0.60308	0.263395
301	2	105120579	106546524	2713	241	PD_nalls2019	UC_delange2017	0.228008	-0.14385	0.64	0.0519875	0	0.40961	0.221911
305	2	110097869	112644828	1417	151	CD_delange2017	MS_imsgc2019	0.352329	-0.01422	0.74728	0.124136	0	0.55843	0.0603127
305	2	110097869	112644828	1417	151	CD_delange2017	PD_nalls2019	0.0423795	-0.22828	0.32305	0.00179602	0	0.11008	0.75523
305	2	110097869	112644828	1417	151	CD_delange2017	SCZ_pardinas2018	-0.138813	-0.57843	0.27223	0.019269	0	0.33954	0.492767
305	2	110097869	112644828	1417	151	MS_imsgc2019	PD_nalls2019	-0.114536	-0.39727	0.15845	0.0131185	0	0.15938	0.401516
305	2	110097869	112644828	1417	151	MS_imsgc2019	SCZ_pardinas2018	0.734314	0.38138	1	0.539217	0.14545	1	0.000365708
305	2	110097869	112644828	1417	151	PD_nalls2019	SCZ_pardinas2018	0.107862	-0.19799	0.41639	0.0116342	0	0.1755	0.471116
306	2	112644829	113930668	2015	142	MS_imsgc2019	PD_nalls2019	0.1441	-0.19758	0.52536	0.0207649	0	0.27651	0.402549
319	2	126754028	127895644	2253	142	AD_schwartzentruber2021	CD_delange2017	0.0739766	-0.19066	0.34316	0.00547253	0	0.11993	0.57563
319	2	126754028	127895644	2253	142	AD_schwartzentruber2021	LBD_chia2021	0.563885	0.33812	0.82539	0.317967	0.11432	0.68127	9.80483e-06
319	2	126754028	127895644	2253	142	AD_schwartzentruber2021	PD_nalls2019	0.134883	-0.03013	0.29856	0.0181934	0	0.08914	0.112071
319	2	126754028	127895644	2253	142	AD_schwartzentruber2021	SCZ_pardinas2018	-0.23921	-0.54332	0.03182	0.0572213	0	0.2952	0.0792219
319	2	126754028	127895644	2253	142	AD_schwartzentruber2021	UC_delange2017	-0.328011	-0.64452	-0.06111	0.107591	0.00455	0.41541	0.0206273
319	2	126754028	127895644	2253	142	CD_delange2017	LBD_chia2021	-0.178641	-0.58614	0.20692	0.0319126	0	0.34434	0.353168
319	2	126754028	127895644	2253	142	CD_delange2017	PD_nalls2019	0.0292132	-0.26294	0.33106	0.00085341	0	0.11935	0.838243
319	2	126754028	127895644	2253	142	CD_delange2017	SCZ_pardinas2018	0.294281	-0.12274	0.75941	0.0866015	0	0.5767	0.156281
319	2	126754028	127895644	2253	142	CD_delange2017	UC_delange2017	0.114085	-0.39544	0.49839	0.0130154	0	0.28484	0.601342
319	2	126754028	127895644	2253	142	LBD_chia2021	PD_nalls2019	0.201457	-0.07247	0.48772	0.0405849	0	0.23787	0.141357
319	2	126754028	127895644	2253	142	LBD_chia2021	SCZ_pardinas2018	-0.354225	-0.7904	0.03879	0.125476	0	0.62473	0.0754025
319	2	126754028	127895644	2253	142	LBD_chia2021	UC_delange2017	0.119415	-0.30244	0.55193	0.01426	0	0.30902	0.56133
319	2	126754028	127895644	2253	142	PD_nalls2019	SCZ_pardinas2018	-0.0152075	-0.32311	0.28521	0.000231269	0	0.12459	0.918276
319	2	126754028	127895644	2253	142	PD_nalls2019	UC_delange2017	0.222811	-0.07705	0.55388	0.0496446	0	0.30678	0.147212
319	2	126754028	127895644	2253	142	SCZ_pardinas2018	UC_delange2017	0.293838	-0.14724	0.79975	0.0863407	0	0.64065	0.180784
335	2	144503689	145977920	1407	157	PD_nalls2019	SCZ_pardinas2018	0.217687	-0.00516	0.44276	0.0473877	0	0.19604	0.0558223
336	2	145977921	147252196	1626	133	PD_nalls2019	SCZ_pardinas2018	-0.0260295	-0.26403	0.21019	0.000677535	0	0.07769	0.823884
366	2	182307878	183352290	1400	137	CD_delange2017	PD_nalls2019	-0.231924	-0.58631	0.09288	0.0537889	0	0.34375	0.152058
369	2	184866233	186244920	2121	121	PD_nalls2019	SCZ_pardinas2018	0.270448	-0.13363	0.71901	0.0731419	0	0.51697	0.186196
378	2	198140351	199654969	1098	100	PD_nalls2019	SCZ_pardinas2018	-0.263477	-0.52869	-0.00337	0.0694202	0.001	0.27952	0.0441194
378	2	198140351	199654969	1098	100	PD_nalls2019	UC_delange2017	-0.440221	-0.75179	-0.16559	0.193795	0.02742	0.56518	0.00315503
378	2	198140351	199654969	1098	100	SCZ_pardinas2018	UC_delange2017	0.12866	-0.27212	0.51414	0.0165534	0	0.27534	0.49761
379	2	199654970	201324132	1548	148	PD_nalls2019	SCZ_pardinas2018	-0.0950122	-0.28763	0.09451	0.00902732	0	0.08324	0.323069
379	2	199654970	201324132	1548	148	PD_nalls2019	UC_delange2017	-0.146652	-0.36761	0.07897	0.0215069	0	0.13514	0.188215
379	2	199654970	201324132	1548	148	SCZ_pardinas2018	UC_delange2017	0.463166	0.25627	0.67201	0.214523	0.06567	0.4516	4.52869e-05
404	2	227557842	228812485	2615	194	LBD_chia2021	PD_nalls2019	0.142753	-0.16271	0.47353	0.0203783	0	0.22446	0.35517
407	2	230541093	231847386	2536	230	ALS_vanrheenen2021	CD_delange2017	-0.0368025	-0.41724	0.32188	0.00135442	0	0.19863	0.833184
407	2	230541093	231847386	2536	230	ALS_vanrheenen2021	PD_nalls2019	-0.014409	-0.30179	0.27128	0.000207619	0	0.10838	0.916713
407	2	230541093	231847386	2536	230	CD_delange2017	PD_nalls2019	-0.165362	-0.37294	0.0385	0.0273444	0	0.13908	0.112034
409	2	233352723	234115092	1319	158	AD_schwartzentruber2021	PD_nalls2019	-0.0539161	-0.33054	0.21566	0.00290694	0	0.11546	0.686082
410	2	234115093	234945577	1615	179	CD_delange2017	LBD_chia2021	-0.224915	-0.52683	0.04517	0.0505867	0	0.27755	0.0974454
410	2	234115093	234945577	1615	179	CD_delange2017	PD_nalls2019	-0.122178	-0.24683	0.00592	0.0149274	0	0.06092	0.0606646
410	2	234115093	234945577	1615	179	LBD_chia2021	PD_nalls2019	0.412073	0.16534	0.72485	0.169804	0.02734	0.5254	0.00177255
419	2	241113280	241910366	1565	161	PD_nalls2019	UC_delange2017	-0.0747191	-0.25444	0.09911	0.00558294	0	0.06489	0.406691
424	3	2140012	3128152	2371	292	PD_nalls2019	SCZ_pardinas2018	-0.0723597	-0.23519	0.0891	0.00523593	0	0.05533	0.389125
432	3	9970732	11226367	2156	268	ALS_vanrheenen2021	LBD_chia2021	0.136664	-0.26973	0.58213	0.018677	0	0.34561	0.492476
432	3	9970732	11226367	2156	268	ALS_vanrheenen2021	MS_imsgc2019	0.0368596	-0.38457	0.45161	0.00135863	0	0.23792	0.852485
432	3	9970732	11226367	2156	268	ALS_vanrheenen2021	PD_nalls2019	0.0299755	-0.18139	0.24897	0.000898533	0	0.06648	0.777855
432	3	9970732	11226367	2156	268	ALS_vanrheenen2021	SCZ_pardinas2018	0.102061	-0.19835	0.42106	0.0104164	0	0.1788	0.503804
432	3	9970732	11226367	2156	268	ALS_vanrheenen2021	UC_delange2017	0.241189	-0.15607	0.70365	0.0581721	0	0.49547	0.228204
