gene_locus	gene_name	chr	start	stop	n_snps	n_pcs	phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p
ENSG00000049239	H6PD	1	9194834	9431396	38	12	PD_nalls2019	CD8NC_onek1k_ENSG00000049239	-0.0545867	-0.37787	0.27177	0.00297971	0	0.15321	0.736863
ENSG00000130939	UBE4B	1	9992890	10341297	219	26	PD_nalls2019	CD4NC_onek1k_ENSG00000130939	-0.365125	-0.71262	-0.01398	0.133316	0.00222	0.50783	0.0435677
ENSG00000116661	FBXO2	1	11608424	11815842	12	7	PD_nalls2019	CD8NC_onek1k_ENSG00000116661	0.220803	-0.16789	0.60784	0.048754	0	0.37012	0.26455
ENSG00000177674	AGTRAP	1	11696141	11914859	30	10	PD_nalls2019	CD8ET_onek1k_ENSG00000177674	-0.316532	-0.59834	-0.01677	0.100193	0.00149	0.35802	0.0400608
ENSG00000142621	FHAD1	1	15473768	15826779	32	8	PD_nalls2019	CD8ET_onek1k_ENSG00000142621	0.0256007	-0.28592	0.32977	0.000655395	0	0.12638	0.869581
ENSG00000058453	CROCC	1	16966768	17399474	25	12	PD_nalls2019	CD8ET_onek1k_ENSG00000058453	-0.278849	-0.52641	-0.02281	0.0777565	0.0015	0.27711	0.033436
ENSG00000238142	RP11_108M9_4	1	17115033	17316144	40	5	PD_nalls2019	CD8ET_onek1k_ENSG00000238142	-0.62218	-0.95206	-0.27001	0.387108	0.07291	0.90641	0.00272782
ENSG00000159339	PADI4	1	17534690	17790499	332	35	PD_nalls2019	CD4NC_onek1k_ENSG00000159339	-0.147952	-0.37287	0.08586	0.0218899	0	0.13903	0.20222
ENSG00000070831	CDC42	1	22279120	22519437	148	22	PD_nalls2019	BIN_onek1k_ENSG00000070831	0.100677	-0.17876	0.38179	0.0101358	0	0.14675	0.467268
ENSG00000070831	CDC42	1	22279120	22519437	20	9	PD_nalls2019	BMem_onek1k_ENSG00000070831	0.254951	-0.09961	0.61087	0.0649999	0	0.37374	0.16161
ENSG00000070831	CDC42	1	22279120	22519437	108	17	PD_nalls2019	CD8ET_onek1k_ENSG00000070831	0.23139	-0.03559	0.50265	0.0535414	0	0.25266	0.0917001
ENSG00000142676	RPL11	1	23918269	24122915	57	12	PD_nalls2019	BIN_onek1k_ENSG00000142676	0.000158153	-0.24398	0.24658	2.50124e-08	0	0.07871	0.998987
ENSG00000142676	RPL11	1	23918269	24122915	39	7	PD_nalls2019	BMem_onek1k_ENSG00000142676	-0.199496	-0.55082	0.15232	0.0397988	0	0.3034	0.268844
ENSG00000142676	RPL11	1	23918269	24122915	64	11	PD_nalls2019	CD4ET_onek1k_ENSG00000142676	0.120894	-0.1314	0.36986	0.0146154	0	0.13679	0.34298
ENSG00000142676	RPL11	1	23918269	24122915	88	12	PD_nalls2019	CD8ET_onek1k_ENSG00000142676	0.120032	-0.06995	0.30701	0.0144077	0	0.09425	0.208524
ENSG00000011007	TCEB3	1	23969645	24188549	140	28	PD_nalls2019	BMem_onek1k_ENSG00000011007	0.0074247	-0.26176	0.27945	5.51262e-05	0	0.09756	0.956436
ENSG00000117616	C1orf63	1	25468728	25764704	9	6	SCZ_pardinas2018	CD8ET_onek1k_ENSG00000117616	0.775519	0.37531	1	0.60143	0.14085	1	0.00428095
ENSG00000157978	LDLRAP1	1	25770071	25995377	41	10	PD_nalls2019	CD4NC_onek1k_ENSG00000157978	0.0252188	-0.24892	0.30667	0.000635987	0	0.10603	0.855664
ENSG00000168653	NDUFS5	1	39391990	39600308	232	18	PD_nalls2019	CD4NC_onek1k_ENSG00000168653	0.0719989	-0.12021	0.26264	0.00518384	0	0.06923	0.461114
ENSG00000168653	NDUFS5	1	39391990	39600308	236	15	PD_nalls2019	CD8ET_onek1k_ENSG00000168653	0.310598	0.02421	0.5987	0.0964713	0.0017	0.35844	0.0369887
ENSG00000168653	NDUFS5	1	39391990	39600308	95	12	PD_nalls2019	CD8NC_onek1k_ENSG00000168653	0.154189	-0.21244	0.5217	0.0237743	0	0.27349	0.397438
ENSG00000168653	NDUFS5	1	39391990	39600308	96	12	SCZ_pardinas2018	CD8NC_onek1k_ENSG00000168653	-0.0187388	-0.42985	0.39641	0.000351141	0	0.22934	0.925678
ENSG00000168653	NDUFS5	1	39391990	39600308	95	12	PD_nalls2019	MonoC_onek1k_ENSG00000168653	-0.00985079	-0.3923	0.36635	9.7038e-05	0	0.1966	0.957836
ENSG00000168653	NDUFS5	1	39391990	39600308	96	12	SCZ_pardinas2018	MonoC_onek1k_ENSG00000168653	0.0347615	-0.38645	0.46141	0.00120836	0	0.25192	0.865902
ENSG00000121310	ECHDC2	1	53261656	53492884	107	8	PD_nalls2019	BIN_onek1k_ENSG00000121310	-0.306354	-0.71598	0.12003	0.0938528	0	0.51263	0.15486
ENSG00000121310	ECHDC2	1	53261656	53492884	73	8	PD_nalls2019	CD8ET_onek1k_ENSG00000121310	-0.384137	-0.84615	0.08063	0.147561	0	0.71598	0.107894
ENSG00000142856	ITGB3BP	1	63806441	64159392	101	9	PD_nalls2019	BIN_onek1k_ENSG00000142856	0.0216709	-0.43575	0.48376	0.000469628	0	0.28479	0.922136
ENSG00000142856	ITGB3BP	1	63806441	64159392	97	8	PD_nalls2019	BMem_onek1k_ENSG00000142856	0.00919444	-0.33717	0.35645	8.45378e-05	0	0.15954	0.95765
ENSG00000142856	ITGB3BP	1	63806441	64159392	184	9	PD_nalls2019	CD8ET_onek1k_ENSG00000142856	0.00345194	-0.51712	0.52262	1.19159e-05	0	0.3539	0.988968
ENSG00000213625	LEPROT	1	65786270	66001690	156	22	PD_nalls2019	CD4NC_onek1k_ENSG00000213625	-0.181291	-0.45358	0.09418	0.0328664	0	0.20574	0.186821
ENSG00000184588	PDE4B	1	66158197	66940259	42	8	PD_nalls2019	CD8ET_onek1k_ENSG00000184588	-0.00632785	-0.55674	0.55096	4.00417e-05	0	0.40209	0.980755
ENSG00000162620	LRRIQ3	1	74391699	74763871	147	7	PD_nalls2019	CD8ET_onek1k_ENSG00000162620	-0.336924	-0.6509	-0.0086	0.113518	0.00188	0.42367	0.0467352
ENSG00000154027	AK5	1	77647736	78125651	28	7	PD_nalls2019	CD8ET_onek1k_ENSG00000154027	-0.668358	-0.98415	-0.34071	0.446702	0.11608	0.96856	0.00107328
ENSG00000097033	SH3GLB1	1	87070259	87313867	154	16	PD_nalls2019	CD4ET_onek1k_ENSG00000097033	0.131393	-0.33804	0.58994	0.0172641	0	0.35955	0.558715
ENSG00000097033	SH3GLB1	1	87070259	87313867	196	19	PD_nalls2019	CD4NC_onek1k_ENSG00000097033	0.190706	-0.14585	0.53462	0.0363688	0	0.28582	0.260786
ENSG00000079335	CDC14A	1	100710584	101085833	184	22	PD_nalls2019	CD8ET_onek1k_ENSG00000079335	-0.0438922	-0.27929	0.19288	0.00192653	0	0.08214	0.714155
ENSG00000230489	VAV3_AS1	1	108407065	108637229	112	23	PD_nalls2019	BIN_onek1k_ENSG00000230489	-0.0927515	-0.37746	0.20202	0.00860284	0	0.14456	0.52437
ENSG00000085491	SLC25A24	1	108576658	108843471	113	17	PD_nalls2019	CD4NC_onek1k_ENSG00000085491	-0.0921515	-0.37716	0.19707	0.0084919	0	0.14364	0.526002
ENSG00000168765	GSTM4	1	110098703	110308118	71	19	PD_nalls2019	CD8NC_onek1k_ENSG00000168765	-0.477869	-0.82294	-0.14024	0.228359	0.02044	0.67723	0.00851524
ENSG00000134202	GSTM3	1	110176554	110384384	99	30	PD_nalls2019	CD4NC_onek1k_ENSG00000134202	-0.0536753	-0.26089	0.1555	0.00288104	0	0.06925	0.608203
ENSG00000134202	GSTM3	1	110176554	110384384	74	21	PD_nalls2019	CD8NC_onek1k_ENSG00000134202	-0.137218	-0.34438	0.07311	0.0188288	0	0.1186	0.198669
ENSG00000064886	CHI3L2	1	111643393	111886062	207	22	PD_nalls2019	BIN_onek1k_ENSG00000064886	0.00506735	-0.18216	0.19909	2.5678e-05	0	0.04779	0.957891
ENSG00000064886	CHI3L2	1	111643393	111886062	174	17	PD_nalls2019	BMem_onek1k_ENSG00000064886	0.149796	-0.09401	0.3899	0.0224387	0	0.15202	0.218713
ENSG00000092621	PHGDH	1	120102421	120386838	15	7	MS_imsgc2019	CD4NC_onek1k_ENSG00000092621	0.156477	-0.29144	0.60668	0.0244851	0	0.37049	0.477611
ENSG00000163131	CTSS	1	150602672	150838433	8	4	SCZ_pardinas2018	CD8NC_onek1k_ENSG00000163131	1	0.80979	1	1	0.65575	1	0.000194539
ENSG00000116521	SCAMP3	1	155125770	155332221	117	13	LBD_chia2021	CD4NC_onek1k_ENSG00000116521	0.00802941	-0.35913	0.38079	6.44715e-05	0	0.17908	0.964526
ENSG00000116521	SCAMP3	1	155125770	155332221	127	16	PD_nalls2019	CD4NC_onek1k_ENSG00000116521	-0.213101	-0.48869	0.06295	0.0454122	0	0.23882	0.134668
ENSG00000116521	SCAMP3	1	155125770	155332221	113	14	PD_nalls2019	CD8ET_onek1k_ENSG00000116521	-0.283569	-0.58979	0.02919	0.0804115	0	0.34785	0.0757373
ENSG00000116521	SCAMP3	1	155125770	155332221	80	10	CD_delange2017	CD8NC_onek1k_ENSG00000116521	1	0.78773	1	1	0.62052	1	1.96627e-05
ENSG00000160789	LMNA	1	155952364	156209880	25	5	PD_nalls2019	MonoC_onek1k_ENSG00000160789	0.37976	-0.03131	0.78319	0.144218	0	0.61338	0.0823449
ENSG00000160856	FCRL3	1	157544111	157770647	82	12	MS_imsgc2019	BIN_onek1k_ENSG00000160856	-0.906789	-1	-0.69329	0.822267	0.48065	1	2.45485e-06
ENSG00000160856	FCRL3	1	157544111	157770647	264	18	MS_imsgc2019	CD8ET_onek1k_ENSG00000160856	-0.855636	-1	-0.57778	0.732113	0.33383	1	2.88557e-05
ENSG00000132704	FCRL2	1	157615523	157846922	15	4	MS_imsgc2019	BIN_onek1k_ENSG00000132704	0.709136	0.28878	1	0.502874	0.08357	1	0.00885973
ENSG00000117091	CD48	1	160548536	160781641	6	4	PD_nalls2019	CD8ET_onek1k_ENSG00000117091	0.20525	-0.12731	0.52441	0.0421275	0	0.27501	0.220831
ENSG00000215845	TSTD1	1	160907421	161108780	209	31	PD_nalls2019	BIN_onek1k_ENSG00000215845	-0.164353	-0.48552	0.14304	0.027012	0	0.23606	0.287511
ENSG00000215845	TSTD1	1	160907421	161108780	187	23	PD_nalls2019	BMem_onek1k_ENSG00000215845	-0.296496	-0.60821	0.0163	0.0879096	0	0.36991	0.0630063
ENSG00000215845	TSTD1	1	160907421	161108780	104	22	PD_nalls2019	CD8NC_onek1k_ENSG00000215845	-0.367034	-0.70979	-0.03913	0.134714	0.00329	0.50381	0.0332712
ENSG00000158773	USF1	1	160909041	161115767	6	4	AD_schwartzentruber2021	BIN_onek1k_ENSG00000158773	-0.50889	-0.90595	-0.08629	0.258969	0.00911	0.82074	0.0287503
ENSG00000158773	USF1	1	160909041	161115767	35	5	PD_nalls2019	BMem_onek1k_ENSG00000158773	-0.304899	-0.78661	0.19302	0.0929634	0	0.61882	0.215892
ENSG00000158773	USF1	1	160909041	161115767	100	16	CD_delange2017	CD4NC_onek1k_ENSG00000158773	0.124972	-0.20577	0.47236	0.0156179	0	0.22474	0.455694
ENSG00000158773	USF1	1	160909041	161115767	49	10	PD_nalls2019	CD8ET_onek1k_ENSG00000158773	-0.0890201	-0.49983	0.33406	0.00792457	0	0.26121	0.664013
ENSG00000158869	FCER1G	1	161085024	161290489	74	19	AD_schwartzentruber2021	MonoC_onek1k_ENSG00000158869	-0.768722	-1	-0.48323	0.590933	0.23351	1	5.03661e-05
ENSG00000143226	FCGR2A	1	161375220	161593803	17	6	AD_schwartzentruber2021	CD8ET_onek1k_ENSG00000143226	0.301923	-0.21758	0.80161	0.0911573	0	0.64258	0.239481
ENSG00000143226	FCGR2A	1	161375220	161593803	17	6	PD_nalls2019	CD8ET_onek1k_ENSG00000143226	-0.243961	-0.58446	0.12011	0.0595172	0	0.34159	0.17052
ENSG00000143226	FCGR2A	1	161375220	161593803	16	6	UC_delange2017	CD8ET_onek1k_ENSG00000143226	0.40935	-0.00258	0.81126	0.167567	0	0.65814	0.0636949
ENSG00000143198	MGST3	1	165500098	165731033	149	27	PD_nalls2019	BIN_onek1k_ENSG00000143198	-0.12025	-0.44864	0.20333	0.0144601	0	0.20279	0.457965
ENSG00000143198	MGST3	1	165500098	165731033	106	23	PD_nalls2019	BMem_onek1k_ENSG00000143198	-0.280644	-0.6197	0.0588	0.0787609	0	0.38402	0.100751
ENSG00000143198	MGST3	1	165500098	165731033	132	25	PD_nalls2019	CD4ET_onek1k_ENSG00000143198	-0.400307	-0.76382	-0.05434	0.160245	0.0048	0.58341	0.0285646
ENSG00000143198	MGST3	1	165500098	165731033	113	23	PD_nalls2019	CD8ET_onek1k_ENSG00000143198	-0.180743	-0.53922	0.16681	0.0326681	0	0.29087	0.306536
ENSG00000143198	MGST3	1	165500098	165731033	80	19	PD_nalls2019	CD8NC_onek1k_ENSG00000143198	-0.265482	-0.59942	0.07025	0.0704805	0	0.3593	0.123263
ENSG00000143198	MGST3	1	165500098	165731033	55	15	PD_nalls2019	MonoC_onek1k_ENSG00000143198	-0.226872	-0.66594	0.2145	0.051471	0	0.44348	0.295172
ENSG00000198821	CD247	1	167299877	167587847	37	11	ALS_vanrheenen2021	CD8NC_onek1k_ENSG00000198821	-0.480389	-0.91392	-0.05211	0.230774	0.0053	0.83525	0.0355534
ENSG00000273160	RP11_104L21_3	1	167326979	167529128	26	10	ALS_vanrheenen2021	CD4NC_onek1k_ENSG00000273160	-0.597352	-1	-0.15103	0.356829	0.0235	1	0.0182358
ENSG00000198771	RCSD1	1	167499330	167775486	201	33	PD_nalls2019	CD4NC_onek1k_ENSG00000198771	0.0484279	-0.07627	0.17632	0.00234526	0	0.03123	0.450728
ENSG00000198771	RCSD1	1	167499330	167775486	184	27	PD_nalls2019	CD8NC_onek1k_ENSG00000198771	-0.00597117	-0.16707	0.15564	3.56549e-05	0	0.03467	0.941984
ENSG00000143155	TIPRL	1	168048171	168269950	6	3	PD_nalls2019	CD8NC_onek1k_ENSG00000143155	0.562704	0.20253	0.88009	0.316635	0.04102	0.77455	0.00671825
ENSG00000143185	XCL2	1	168410003	168613235	358	54	PD_nalls2019	CD8ET_onek1k_ENSG00000143185	-0.036496	-0.17755	0.10664	0.00133196	0	0.03185	0.612316
ENSG00000143184	XCL1	1	168445711	168651315	72	23	PD_nalls2019	CD8ET_onek1k_ENSG00000143184	0.00552074	-0.16441	0.1757	3.04786e-05	0	0.03826	0.94868
ENSG00000188404	SELL	1	169559808	169780839	48	13	UC_delange2017	MonoC_onek1k_ENSG00000188404	0.086027	-0.33103	0.50638	0.00740065	0	0.26593	0.664251
ENSG00000117533	VAMP4	1	171569300	171811387	588	46	PD_nalls2019	CD4NC_onek1k_ENSG00000117533	-0.185888	-0.41854	0.04929	0.0345544	0	0.17518	0.118723
ENSG00000117533	VAMP4	1	171569300	171811387	588	46	PD_nalls2019	CD8ET_onek1k_ENSG00000117533	-0.176991	-0.50365	0.14175	0.031326	0	0.25367	0.275289
ENSG00000117533	VAMP4	1	171569300	171811387	588	46	PD_nalls2019	CD8NC_onek1k_ENSG00000117533	-0.225944	-0.6048	0.15037	0.0510505	0	0.36578	0.21643
ENSG00000235750	KIAA0040	1	175026123	175262135	134	22	PD_nalls2019	BIN_onek1k_ENSG00000235750	-0.410456	-0.73845	-0.08084	0.168474	0.00761	0.54531	0.0200665
ENSG00000235750	KIAA0040	1	175026123	175262135	96	17	PD_nalls2019	CD8NC_onek1k_ENSG00000235750	0.0897765	-0.15127	0.32063	0.00805981	0	0.10309	0.441301
ENSG00000198756	COLGALT2	1	183798796	184106863	91	16	PD_nalls2019	CD8ET_onek1k_ENSG00000198756	-0.134003	-0.34855	0.08179	0.0179567	0	0.12149	0.222155
ENSG00000090104	RGS1	1	192444857	192649161	57	7	MS_imsgc2019	BIN_onek1k_ENSG00000090104	-1	-1	-0.77333	1	0.59804	1	0.000105506
ENSG00000118197	DDX59	1	200493024	200739097	9	5	PD_nalls2019	CD4NC_onek1k_ENSG00000118197	0.163524	-0.35452	0.65982	0.02674	0	0.43833	0.503327
ENSG00000176393	RNPEP	1	201851500	202075275	50	10	PD_nalls2019	MonoC_onek1k_ENSG00000176393	-0.219392	-0.56153	0.12412	0.0481328	0	0.31532	0.219317
ENSG00000198625	MDM4	1	204385511	204642871	200	19	PD_nalls2019	BIN_onek1k_ENSG00000198625	-0.232685	-0.54664	0.07983	0.0541424	0	0.29882	0.144087
ENSG00000117280	RAB7L1	1	205637114	205844588	28	7	PD_nalls2019	CD4NC_onek1k_ENSG00000117280	0.825968	0.4947	1	0.682224	0.24473	1	0.00106114
ENSG00000196352	CD55	1	207394853	207634311	153	4	AD_schwartzentruber2021	CD8ET_onek1k_ENSG00000196352	-0.718631	-1	-0.31529	0.51643	0.09941	1	0.00538968
ENSG00000196352	CD55	1	207394853	207634311	151	6	AD_schwartzentruber2021	MonoC_onek1k_ENSG00000196352	0.527697	0.10796	0.92175	0.278464	0.01385	0.84962	0.0219689
ENSG00000198468	FLVCR1_AS1	1	212925450	213131430	220	9	PD_nalls2019	CD4ET_onek1k_ENSG00000198468	-0.245288	-0.56533	0.08297	0.0601662	0	0.31959	0.139086
ENSG00000198468	FLVCR1_AS1	1	212925450	213131430	295	11	PD_nalls2019	CD8ET_onek1k_ENSG00000198468	-0.0370058	-0.29366	0.21911	0.00136943	0	0.09603	0.773635
ENSG00000198468	FLVCR1_AS1	1	212925450	213131430	302	11	PD_nalls2019	CD8NC_onek1k_ENSG00000198468	-0.0216633	-0.32538	0.28408	0.000469301	0	0.12223	0.885796
ENSG00000143641	GALNT2	1	230093536	230517870	8	6	PD_nalls2019	CD8NC_onek1k_ENSG00000143641	0.444663	-0.00404	0.87472	0.197726	0	0.76513	0.0618891
ENSG00000135778	NTPCR	1	232986351	233219628	279	37	PD_nalls2019	CD4NC_onek1k_ENSG00000135778	-0.163256	-0.28663	-0.0416	0.0266524	0.0018	0.08216	0.0104042
ENSG00000135778	NTPCR	1	232986351	233219628	157	20	PD_nalls2019	CD8ET_onek1k_ENSG00000135778	-0.246765	-0.42541	-0.06391	0.0608929	0.00414	0.18098	0.0100206
ENSG00000135778	NTPCR	1	232986351	233219628	210	25	PD_nalls2019	CD8NC_onek1k_ENSG00000135778	-0.20175	-0.35948	-0.04159	0.040703	0.00195	0.12923	0.0147546
ENSG00000168275	COA6	1	234409202	234619795	18	7	PD_nalls2019	CD4NC_onek1k_ENSG00000168275	0.220963	-0.18787	0.63385	0.0488248	0	0.40177	0.281737
ENSG00000203667	COX20	1	244898624	245108359	52	10	PD_nalls2019	BMem_onek1k_ENSG00000203667	0.119904	-0.23772	0.48694	0.0143769	0	0.23923	0.502047
ENSG00000203667	COX20	1	244898624	245108359	54	11	PD_nalls2019	CD4NC_onek1k_ENSG00000203667	-0.215556	-0.49447	0.0625	0.0464643	0	0.2445	0.13339
ENSG00000153187	HNRNPU	1	244914468	245127844	7	5	PD_nalls2019	CD8ET_onek1k_ENSG00000153187	-0.028294	-0.52974	0.45821	0.000800552	0	0.32806	0.902618
ENSG00000035115	SH3YL1	2	117730	366398	147	19	PD_nalls2019	BIN_onek1k_ENSG00000035115	-0.078587	-0.26656	0.1149	0.00617592	0	0.07107	0.414623
ENSG00000035115	SH3YL1	2	117730	366398	156	17	PD_nalls2019	BMem_onek1k_ENSG00000035115	-0.138704	-0.32251	0.04874	0.0192387	0	0.10401	0.138834
ENSG00000035115	SH3YL1	2	117730	366398	202	26	PD_nalls2019	CD4ET_onek1k_ENSG00000035115	-0.0788442	-0.19063	0.03337	0.00621642	0	0.03634	0.166197
ENSG00000035115	SH3YL1	2	117730	366398	184	26	PD_nalls2019	CD8NC_onek1k_ENSG00000035115	-0.0321343	-0.13208	0.07006	0.00103262	0	0.01757	0.532153
ENSG00000225234	TRAPPC12_AS1	2	3385013	3586180	143	23	PD_nalls2019	CD8ET_onek1k_ENSG00000225234	0.375187	-0.07084	0.85064	0.140765	0	0.72358	0.101193
ENSG00000225234	TRAPPC12_AS1	2	3385013	3586180	85	16	PD_nalls2019	CD8NC_onek1k_ENSG00000225234	0.0321357	-0.30696	0.37747	0.0010327	0	0.15826	0.848003
ENSG00000171863	RPS7	2	3522795	3728509	28	12	PD_nalls2019	BIN_onek1k_ENSG00000171863	-0.00114945	-0.20903	0.20935	1.32124e-06	0	0.05891	0.991375
ENSG00000171863	RPS7	2	3522795	3728509	24	10	PD_nalls2019	BMem_onek1k_ENSG00000171863	0.0311835	-0.18447	0.24695	0.000972412	0	0.06542	0.771888
ENSG00000171863	RPS7	2	3522795	3728509	25	10	PD_nalls2019	CD4ET_onek1k_ENSG00000171863	0.0701828	-0.14614	0.28854	0.00492562	0	0.08363	0.52572
ENSG00000171863	RPS7	2	3522795	3728509	82	29	PD_nalls2019	CD4NC_onek1k_ENSG00000171863	-0.144739	-0.28412	-0.00734	0.0209495	3e-04	0.08072	0.043737
ENSG00000171863	RPS7	2	3522795	3728509	27	12	PD_nalls2019	CD8ET_onek1k_ENSG00000171863	0.178813	-0.02499	0.37803	0.0319741	0	0.14291	0.0869395
ENSG00000171863	RPS7	2	3522795	3728509	44	18	PD_nalls2019	CD8NC_onek1k_ENSG00000171863	0.0114777	-0.18228	0.20282	0.000131739	0	0.04864	0.906057
ENSG00000134330	IAH1	2	9513787	9736672	189	21	PD_nalls2019	CD4NC_onek1k_ENSG00000134330	-0.00310826	-0.23849	0.23619	9.66126e-06	0	0.07273	0.978996
ENSG00000271952	RP11_245G13_2	2	10918395	11125244	18	7	PD_nalls2019	CD4ET_onek1k_ENSG00000271952	-0.252873	-0.64117	0.13361	0.0639446	0	0.41153	0.184716
ENSG00000271952	RP11_245G13_2	2	10918395	11125244	41	16	PD_nalls2019	CD4NC_onek1k_ENSG00000271952	-0.179544	-0.47121	0.11802	0.032236	0	0.22204	0.218748
ENSG00000271952	RP11_245G13_2	2	10918395	11125244	20	8	PD_nalls2019	CD8NC_onek1k_ENSG00000271952	-0.17175	-0.54635	0.20034	0.0294979	0	0.30019	0.358133
ENSG00000134324	LPIN1	2	11717721	12067535	73	19	PD_nalls2019	CD4NC_onek1k_ENSG00000134324	0.0603978	-0.21396	0.33999	0.00364789	0	0.12086	0.664293
ENSG00000115138	POMC	2	25283722	25491772	55	15	CD_delange2017	CD4NC_onek1k_ENSG00000115138	-0.488095	-0.87513	-0.11202	0.238237	0.0135	0.76585	0.0168316
ENSG00000115138	POMC	2	25283722	25491772	18	6	CD_delange2017	CD8NC_onek1k_ENSG00000115138	-0.503747	-0.94023	-0.04419	0.253761	0.00623	0.88403	0.0405069
ENSG00000157992	KRTCAP3	2	27565233	27769348	113	8	CD_delange2017	CD4ET_onek1k_ENSG00000157992	-0.872972	-1	-0.54308	0.76208	0.29494	1	0.000806444
ENSG00000157992	KRTCAP3	2	27565233	27769348	143	17	CD_delange2017	CD4NC_onek1k_ENSG00000157992	-0.711703	-0.98306	-0.44755	0.506521	0.2003	0.96641	3.25678e-05
ENSG00000157992	KRTCAP3	2	27565233	27769348	139	15	CD_delange2017	CD8NC_onek1k_ENSG00000157992	-0.647882	-0.94901	-0.35159	0.419751	0.12361	0.90062	0.000435545
ENSG00000189350	FAM179A	2	29079477	29384239	43	10	PD_nalls2019	CD8ET_onek1k_ENSG00000189350	0.0512512	-0.30092	0.40845	0.00262669	0	0.18341	0.769058
ENSG00000152527	PLEKHH2	2	43764412	44095126	98	22	CD_delange2017	CD8NC_onek1k_ENSG00000152527	-0.15022	-0.60245	0.29339	0.0225659	0	0.36658	0.489332
ENSG00000170802	FOXN2	2	48441776	48706433	82	21	SCZ_pardinas2018	CD4NC_onek1k_ENSG00000170802	-0.682365	-1	-0.37151	0.465622	0.13802	1	0.000506471
ENSG00000170802	FOXN2	2	48441776	48706433	4	4	SCZ_pardinas2018	CD8ET_onek1k_ENSG00000170802	-1	-1	-0.83163	1	0.69161	1	0.000131203
ENSG00000170802	FOXN2	2	48441776	48706433	5	5	SCZ_pardinas2018	CD8NC_onek1k_ENSG00000170802	-1	-1	-0.81462	1	0.66361	1	0.000211311
