ld_block	gene_locus	gene_name	chr	start	stop	n_snps	n_pcs	phen	h2.obs	p	qtl_dataset
2	ENSG00000162585	C1orf86	1	2015903	2244159	7	4	CD4ET_onek1k_ENSG00000162585	0.0419717	2.54641e-09	CD4ET
2	ENSG00000162585	C1orf86	1	2015903	2244159	7	4	LBD_chia2021	0.0003754	0.162058	CD4ET
2	ENSG00000162585	C1orf86	1	2015903	2244159	7	4	SCZ_pardinas2018	0.000156424	0.000396282	CD4ET
2	ENSG00000162585	C1orf86	1	2015903	2244159	5	2	FTD_ferrari2014	0.000129262	0.240543	CD4ET
2	ENSG00000162585	C1orf86	1	2015903	2244159	5	2	CD4ET_onek1k_ENSG00000162585	0.0292208	1.82652e-07	CD4ET
2	ENSG00000162585	C1orf86	1	2015903	2244159	13	8	CD8ET_onek1k_ENSG00000162585	0.0902239	3.74852e-18	CD8ET
2	ENSG00000162585	C1orf86	1	2015903	2244159	12	7	CD_delange2017	0.00018333	0.0441028	CD8ET
2	ENSG00000162585	C1orf86	1	2015903	2244159	12	7	CD8ET_onek1k_ENSG00000162585	0.0848017	2.33478e-17	CD8ET
2	ENSG00000162585	C1orf86	1	2015903	2244159	13	8	LBD_chia2021	0.000289083	0.263388	CD8ET
2	ENSG00000162585	C1orf86	1	2015903	2244159	13	8	PD_nalls2019	6.9663e-05	5.71418e-06	CD8ET
2	ENSG00000162585	C1orf86	1	2015903	2244159	13	8	SCZ_pardinas2018	0.000145552	0.00290846	CD8ET
2	ENSG00000162585	C1orf86	1	2015903	2244159	9	4	CD8ET_onek1k_ENSG00000162585	0.065896	1.64418e-14	CD8ET
2	ENSG00000162585	C1orf86	1	2015903	2244159	12	7	CD8NC_onek1k_ENSG00000162585	0.0919667	6.10339e-19	CD8NC
2	ENSG00000162585	C1orf86	1	2015903	2244159	12	7	CD_delange2017	0.000199665	0.0362313	CD8NC
2	ENSG00000162585	C1orf86	1	2015903	2244159	11	6	LBD_chia2021	0.00048809	0.153997	CD8NC
2	ENSG00000162585	C1orf86	1	2015903	2244159	11	6	CD8NC_onek1k_ENSG00000162585	0.0870551	2.79523e-18	CD8NC
2	ENSG00000162585	C1orf86	1	2015903	2244159	12	7	SCZ_pardinas2018	0.000146969	0.00205634	CD8NC
2	ENSG00000162585	C1orf86	1	2015903	2244159	8	3	CD8NC_onek1k_ENSG00000162585	0.065348	6.57138e-15	CD8NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	72	16	AD_schwartzentruber2021	1.14489e-06	0.410578	CD4NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	72	16	CD4NC_onek1k_ENSG00000157873	0.0865573	6.19756e-15	CD4NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	71	16	CD_delange2017	0.000292472	0.0348913	CD4NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	71	16	CD4NC_onek1k_ENSG00000157873	0.0869009	5.28761e-15	CD4NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	71	16	LBD_chia2021	0.000493945	0.228683	CD4NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	71	16	CD4NC_onek1k_ENSG00000157873	0.085928	8.28609e-15	CD4NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	72	16	PD_nalls2019	0.00011185	1.12498e-08	CD4NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	72	16	SCZ_pardinas2018	0.000114315	0.0313673	CD4NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	71	16	UC_delange2017	0.00126695	1.58012e-09	CD4NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	72	16	ALS_vanrheenen2021	7.19561e-06	0.408974	CD4NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	72	16	MS_imsgc2019	0.00217818	3.27605e-15	CD4NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	69	15	CD4NC_onek1k_ENSG00000157873	0.0831817	1.66871e-14	CD4NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	63	11	AD_schwartzentruber2021	6.87015e-06	0.221731	CD8ET
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	63	11	CD8ET_onek1k_ENSG00000157873	0.0522363	2.27715e-09	CD8ET
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	63	11	CD_delange2017	0.000197003	0.0663487	CD8ET
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	62	11	CD8ET_onek1k_ENSG00000157873	0.0520469	2.47652e-09	CD8ET
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	63	11	PD_nalls2019	3.73496e-06	0.299353	CD8ET
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	63	11	SCZ_pardinas2018	0.00012457	0.0122387	CD8ET
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	63	11	UC_delange2017	0.00106581	8.10485e-09	CD8ET
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	63	11	ALS_vanrheenen2021	8.86321e-05	0.0958874	CD8ET
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	63	11	MS_imsgc2019	0.00199895	3.37982e-15	CD8ET
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	60	11	FTD_ferrari2014	3.52368e-05	0.421851	CD8ET
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	60	11	CD8ET_onek1k_ENSG00000157873	0.052515	2.01229e-09	CD8ET
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	16	3	CD8NC_onek1k_ENSG00000157873	0.0402117	2.27921e-09	CD8NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	16	3	CD_delange2017	0.000260067	0.00387711	CD8NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	15	3	CD8NC_onek1k_ENSG00000157873	0.0399269	2.62671e-09	CD8NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	16	3	PD_nalls2019	5.56048e-06	0.130218	CD8NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	16	3	SCZ_pardinas2018	0.000111491	0.00202807	CD8NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	16	3	UC_delange2017	0.000884089	1.83354e-09	CD8NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	16	3	ALS_vanrheenen2021	8.40196e-05	0.0288042	CD8NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	16	3	MS_imsgc2019	0.00162672	5.86965e-15	CD8NC
3	ENSG00000157873	TNFRSF14	1	2387078	2596821	16	3	FTD_ferrari2014	0.000103109	0.302696	CD8NC
3	ENSG00000157881	PANK4	1	2339972	2558039	41	8	CD4NC_onek1k_ENSG00000157881	0.0426741	3.19517e-08	CD4NC
3	ENSG00000157881	PANK4	1	2339972	2558039	40	8	CD_delange2017	2.46135e-05	0.338601	CD4NC
3	ENSG00000157881	PANK4	1	2339972	2558039	40	8	CD4NC_onek1k_ENSG00000157881	0.0452208	1.00623e-08	CD4NC
3	ENSG00000157881	PANK4	1	2339972	2558039	41	8	LBD_chia2021	9.51813e-05	0.366491	CD4NC
3	ENSG00000157881	PANK4	1	2339972	2558039	41	8	PD_nalls2019	5.38512e-06	0.230833	CD4NC
3	ENSG00000157881	PANK4	1	2339972	2558039	41	8	SCZ_pardinas2018	4.63304e-05	0.113327	CD4NC
3	ENSG00000157881	PANK4	1	2339972	2558039	40	8	UC_delange2017	0.00026409	0.011007	CD4NC
3	ENSG00000157881	PANK4	1	2339972	2558039	32	7	ALS_vanrheenen2021	7.32588e-05	0.0904561	CD4NC
3	ENSG00000157881	PANK4	1	2339972	2558039	32	7	CD4NC_onek1k_ENSG00000157881	0.0440206	9.38465e-09	CD4NC
3	ENSG00000157881	PANK4	1	2339972	2558039	41	8	MS_imsgc2019	0.000602462	7.28635e-05	CD4NC
3	ENSG00000157881	PANK4	1	2339972	2558039	40	7	CD4NC_onek1k_ENSG00000157881	0.0429342	1.54991e-08	CD4NC
8	ENSG00000069424	KCNAB2	1	5951526	6261253	93	9	CD4ET_onek1k_ENSG00000069424	0.0422102	6.80226e-08	CD4ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	89	9	CD_delange2017	5.77404e-05	0.250815	CD4ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	89	9	CD4ET_onek1k_ENSG00000069424	0.0444894	2.47129e-08	CD4ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	89	9	LBD_chia2021	0.00072719	0.1129	CD4ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	89	9	CD4ET_onek1k_ENSG00000069424	0.0424584	6.09482e-08	CD4ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	93	9	SCZ_pardinas2018	3.68602e-06	0.403231	CD4ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	93	9	ALS_vanrheenen2021	2.4854e-05	0.276467	CD4ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	93	9	MS_imsgc2019	3.32603e-07	0.432061	CD4ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	89	8	FTD_ferrari2014	0.000259493	0.293926	CD4ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	89	8	CD4ET_onek1k_ENSG00000069424	0.0396019	1.27014e-07	CD4ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	185	25	AD_schwartzentruber2021	7.6424e-06	0.27528	CD8ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	185	25	CD8ET_onek1k_ENSG00000069424	0.134176	1.83072e-22	CD8ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	175	24	CD_delange2017	0.000108652	0.240751	CD8ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	175	24	CD8ET_onek1k_ENSG00000069424	0.132968	1.84218e-22	CD8ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	176	23	LBD_chia2021	0.000217053	0.366178	CD8ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	176	23	CD8ET_onek1k_ENSG00000069424	0.131839	1.76745e-22	CD8ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	185	25	PD_nalls2019	0.000862583	1.03187e-76	CD8ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	185	25	SCZ_pardinas2018	6.43268e-05	0.162905	CD8ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	182	23	CD8ET_onek1k_ENSG00000069424	0.116739	2.38294e-19	CD8ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	184	24	CD8ET_onek1k_ENSG00000069424	0.134666	8.09787e-23	CD8ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	171	19	CD8ET_onek1k_ENSG00000069424	0.110094	5.67198e-19	CD8ET
8	ENSG00000069424	KCNAB2	1	5951526	6261253	165	18	AD_schwartzentruber2021	2.23773e-07	0.43658	CD8NC
8	ENSG00000069424	KCNAB2	1	5951526	6261253	165	18	CD8NC_onek1k_ENSG00000069424	0.0977669	1.05809e-16	CD8NC
8	ENSG00000069424	KCNAB2	1	5951526	6261253	156	17	CD8NC_onek1k_ENSG00000069424	0.099218	2.99408e-17	CD8NC
8	ENSG00000069424	KCNAB2	1	5951526	6261253	158	17	LBD_chia2021	0.000806078	0.165464	CD8NC
8	ENSG00000069424	KCNAB2	1	5951526	6261253	158	17	CD8NC_onek1k_ENSG00000069424	0.0927165	6.29543e-16	CD8NC
8	ENSG00000069424	KCNAB2	1	5951526	6261253	165	18	PD_nalls2019	0.000352896	2.69061e-32	CD8NC
8	ENSG00000069424	KCNAB2	1	5951526	6261253	165	18	SCZ_pardinas2018	6.18359e-05	0.13744	CD8NC
8	ENSG00000069424	KCNAB2	1	5951526	6261253	165	18	ALS_vanrheenen2021	4.56051e-05	0.244736	CD8NC
8	ENSG00000069424	KCNAB2	1	5951526	6261253	164	17	MS_imsgc2019	1.08944e-05	0.424438	CD8NC
8	ENSG00000069424	KCNAB2	1	5951526	6261253	164	17	CD8NC_onek1k_ENSG00000069424	0.093811	3.78294e-16	CD8NC
8	ENSG00000069424	KCNAB2	1	5951526	6261253	157	16	CD8NC_onek1k_ENSG00000069424	0.0917619	5.51138e-16	CD8NC
9	ENSG00000069424	KCNAB2	1	5951526	6261253	93	9	CD4ET_onek1k_ENSG00000069424	0.0422102	6.80226e-08	CD4ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	89	9	CD_delange2017	5.77404e-05	0.250815	CD4ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	89	9	CD4ET_onek1k_ENSG00000069424	0.0444894	2.47129e-08	CD4ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	89	9	LBD_chia2021	0.00072719	0.1129	CD4ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	89	9	CD4ET_onek1k_ENSG00000069424	0.0424584	6.09482e-08	CD4ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	93	9	SCZ_pardinas2018	3.68602e-06	0.403231	CD4ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	93	9	ALS_vanrheenen2021	2.4854e-05	0.276467	CD4ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	93	9	MS_imsgc2019	3.32603e-07	0.432061	CD4ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	89	8	FTD_ferrari2014	0.000259493	0.293926	CD4ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	89	8	CD4ET_onek1k_ENSG00000069424	0.0396019	1.27014e-07	CD4ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	185	25	AD_schwartzentruber2021	7.6424e-06	0.27528	CD8ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	185	25	CD8ET_onek1k_ENSG00000069424	0.134176	1.83072e-22	CD8ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	175	24	CD_delange2017	0.000108652	0.240751	CD8ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	175	24	CD8ET_onek1k_ENSG00000069424	0.132968	1.84218e-22	CD8ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	176	23	LBD_chia2021	0.000217053	0.366178	CD8ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	176	23	CD8ET_onek1k_ENSG00000069424	0.131839	1.76745e-22	CD8ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	185	25	PD_nalls2019	0.000862583	1.03187e-76	CD8ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	185	25	SCZ_pardinas2018	6.43268e-05	0.162905	CD8ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	182	23	CD8ET_onek1k_ENSG00000069424	0.116739	2.38294e-19	CD8ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	184	24	CD8ET_onek1k_ENSG00000069424	0.134666	8.09787e-23	CD8ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	171	19	CD8ET_onek1k_ENSG00000069424	0.110094	5.67198e-19	CD8ET
9	ENSG00000069424	KCNAB2	1	5951526	6261253	165	18	AD_schwartzentruber2021	2.23773e-07	0.43658	CD8NC
9	ENSG00000069424	KCNAB2	1	5951526	6261253	165	18	CD8NC_onek1k_ENSG00000069424	0.0977669	1.05809e-16	CD8NC
9	ENSG00000069424	KCNAB2	1	5951526	6261253	156	17	CD8NC_onek1k_ENSG00000069424	0.099218	2.99408e-17	CD8NC
9	ENSG00000069424	KCNAB2	1	5951526	6261253	158	17	LBD_chia2021	0.000806078	0.165464	CD8NC
9	ENSG00000069424	KCNAB2	1	5951526	6261253	158	17	CD8NC_onek1k_ENSG00000069424	0.0927165	6.29543e-16	CD8NC
9	ENSG00000069424	KCNAB2	1	5951526	6261253	165	18	PD_nalls2019	0.000352896	2.69061e-32	CD8NC
9	ENSG00000069424	KCNAB2	1	5951526	6261253	165	18	SCZ_pardinas2018	6.18359e-05	0.13744	CD8NC
9	ENSG00000069424	KCNAB2	1	5951526	6261253	165	18	ALS_vanrheenen2021	4.56051e-05	0.244736	CD8NC
9	ENSG00000069424	KCNAB2	1	5951526	6261253	164	17	MS_imsgc2019	1.08944e-05	0.424438	CD8NC
9	ENSG00000069424	KCNAB2	1	5951526	6261253	164	17	CD8NC_onek1k_ENSG00000069424	0.093811	3.78294e-16	CD8NC
9	ENSG00000069424	KCNAB2	1	5951526	6261253	157	16	CD8NC_onek1k_ENSG00000069424	0.0917619	5.51138e-16	CD8NC
9	ENSG00000171680	PLEKHG5	1	6426152	6680121	73	7	CD4NC_onek1k_ENSG00000171680	0.0320971	2.08815e-06	CD4NC
9	ENSG00000171680	PLEKHG5	1	6426152	6680121	71	7	CD4NC_onek1k_ENSG00000171680	0.0320551	2.12739e-06	CD4NC
9	ENSG00000171680	PLEKHG5	1	6426152	6680121	71	6	CD4NC_onek1k_ENSG00000171680	0.0331415	7.41572e-07	CD4NC
9	ENSG00000171680	PLEKHG5	1	6426152	6680121	71	7	CD4NC_onek1k_ENSG00000171680	0.0320992	2.08622e-06	CD4NC
10	ENSG00000049247	UTS2	1	7803143	8013572	13	6	CD8NC_onek1k_ENSG00000049247	0.186994	3.33609e-42	CD8NC
10	ENSG00000049247	UTS2	1	7803143	8013572	13	6	CD_delange2017	0.000179553	0.0371991	CD8NC
10	ENSG00000049247	UTS2	1	7803143	8013572	12	5	CD8NC_onek1k_ENSG00000049247	0.177514	2.0205e-40	CD8NC
10	ENSG00000049247	UTS2	1	7803143	8013572	13	6	UC_delange2017	8.42129e-05	0.126351	CD8NC
10	ENSG00000049247	UTS2	1	7803143	8013572	13	6	FTD_ferrari2014	0.00114573	0.0317615	CD8NC
10	ENSG00000116288	PARK7	1	7914351	8145565	81	6	BIN_onek1k_ENSG00000116288	0.0288295	5.21066e-06	BIN
10	ENSG00000116288	PARK7	1	7914351	8145565	79	6	CD_delange2017	0.000759851	2.56984e-06	BIN
10	ENSG00000116288	PARK7	1	7914351	8145565	79	6	BIN_onek1k_ENSG00000116288	0.0287435	5.4155e-06	BIN
10	ENSG00000116288	PARK7	1	7914351	8145565	81	6	PD_nalls2019	6.31173e-06	0.177435	BIN
10	ENSG00000116288	PARK7	1	7914351	8145565	81	6	BIN_onek1k_ENSG00000116288	0.0287525	5.39354e-06	BIN
10	ENSG00000116288	PARK7	1	7914351	8145565	81	6	SCZ_pardinas2018	3.21875e-05	0.149348	BIN
10	ENSG00000116288	PARK7	1	7914351	8145565	79	6	UC_delange2017	0.000756831	6.04946e-07	BIN
10	ENSG00000116288	PARK7	1	7914351	8145565	82	6	ALS_vanrheenen2021	1.512e-05	0.296595	BIN
10	ENSG00000116288	PARK7	1	7914351	8145565	82	6	BIN_onek1k_ENSG00000116288	0.0288456	5.1733e-06	BIN
10	ENSG00000116288	PARK7	1	7914351	8145565	80	6	MS_imsgc2019	8.98788e-05	0.136065	BIN
10	ENSG00000116288	PARK7	1	7914351	8145565	80	6	BIN_onek1k_ENSG00000116288	0.028738	5.42887e-06	BIN
10	ENSG00000116288	PARK7	1	7914351	8145565	45	7	CD4ET_onek1k_ENSG00000116288	0.0273738	1.65286e-05	CD4ET
10	ENSG00000116288	PARK7	1	7914351	8145565	44	7	CD_delange2017	0.000402091	0.00150837	CD4ET
10	ENSG00000116288	PARK7	1	7914351	8145565	44	7	CD4ET_onek1k_ENSG00000116288	0.02737	1.65559e-05	CD4ET
10	ENSG00000116288	PARK7	1	7914351	8145565	45	7	SCZ_pardinas2018	5.28113e-05	0.0828098	CD4ET
10	ENSG00000116288	PARK7	1	7914351	8145565	44	7	UC_delange2017	2.06427e-06	0.417583	CD4ET
10	ENSG00000116288	PARK7	1	7914351	8145565	45	7	ALS_vanrheenen2021	3.50799e-05	0.200978	CD4ET
10	ENSG00000116288	PARK7	1	7914351	8145565	44	7	MS_imsgc2019	3.72533e-05	0.281999	CD4ET
10	ENSG00000116288	PARK7	1	7914351	8145565	43	7	CD4ET_onek1k_ENSG00000116288	0.0273853	1.64462e-05	CD4ET
10	ENSG00000116288	PARK7	1	7914351	8145565	93	17	CD4NC_onek1k_ENSG00000116288	0.126904	4.18778e-23	CD4NC
10	ENSG00000116288	PARK7	1	7914351	8145565	90	17	CD_delange2017	0.000658206	0.000484241	CD4NC
10	ENSG00000116288	PARK7	1	7914351	8145565	90	17	CD4NC_onek1k_ENSG00000116288	0.126699	4.63905e-23	CD4NC
10	ENSG00000116288	PARK7	1	7914351	8145565	88	17	LBD_chia2021	3.40017e-05	0.44033	CD4NC
10	ENSG00000116288	PARK7	1	7914351	8145565	88	17	CD4NC_onek1k_ENSG00000116288	0.126916	4.16253e-23	CD4NC
10	ENSG00000116288	PARK7	1	7914351	8145565	91	17	PD_nalls2019	0.000218391	4.41729e-18	CD4NC
10	ENSG00000116288	PARK7	1	7914351	8145565	91	17	CD4NC_onek1k_ENSG00000116288	0.126249	5.81227e-23	CD4NC
10	ENSG00000116288	PARK7	1	7914351	8145565	93	17	SCZ_pardinas2018	9.91674e-05	0.0517341	CD4NC
10	ENSG00000116288	PARK7	1	7914351	8145565	90	17	UC_delange2017	0.000641933	0.000208007	CD4NC
10	ENSG00000116288	PARK7	1	7914351	8145565	92	17	CD4NC_onek1k_ENSG00000116288	0.126803	4.40414e-23	CD4NC
10	ENSG00000116288	PARK7	1	7914351	8145565	92	17	CD4NC_onek1k_ENSG00000116288	0.126359	5.49995e-23	CD4NC
10	ENSG00000116288	PARK7	1	7914351	8145565	89	16	CD4NC_onek1k_ENSG00000116288	0.127743	1.33902e-23	CD4NC
10	ENSG00000116288	PARK7	1	7914351	8145565	141	13	CD8ET_onek1k_ENSG00000116288	0.073847	3.90009e-13	CD8ET
10	ENSG00000116288	PARK7	1	7914351	8145565	137	13	CD_delange2017	0.000694759	0.000117523	CD8ET
10	ENSG00000116288	PARK7	1	7914351	8145565	137	13	CD8ET_onek1k_ENSG00000116288	0.0733985	4.7957e-13	CD8ET
10	ENSG00000116288	PARK7	1	7914351	8145565	135	13	LBD_chia2021	9.32527e-05	0.392815	CD8ET
10	ENSG00000116288	PARK7	1	7914351	8145565	135	13	CD8ET_onek1k_ENSG00000116288	0.0738667	3.86477e-13	CD8ET
10	ENSG00000116288	PARK7	1	7914351	8145565	140	13	PD_nalls2019	8.8247e-05	6.87975e-07	CD8ET
10	ENSG00000116288	PARK7	1	7914351	8145565	140	13	CD8ET_onek1k_ENSG00000116288	0.0737343	4.1081e-13	CD8ET
10	ENSG00000116288	PARK7	1	7914351	8145565	141	13	SCZ_pardinas2018	5.90956e-05	0.116415	CD8ET
10	ENSG00000116288	PARK7	1	7914351	8145565	137	13	UC_delange2017	0.000766212	9.0912e-06	CD8ET
10	ENSG00000116288	PARK7	1	7914351	8145565	141	13	ALS_vanrheenen2021	3.61176e-05	0.255806	CD8ET
10	ENSG00000116288	PARK7	1	7914351	8145565	141	13	CD8ET_onek1k_ENSG00000116288	0.0737579	4.06361e-13	CD8ET
10	ENSG00000116288	PARK7	1	7914351	8145565	140	13	MS_imsgc2019	7.84953e-05	0.226813	CD8ET
10	ENSG00000116288	PARK7	1	7914351	8145565	140	13	CD8ET_onek1k_ENSG00000116288	0.0738264	3.93722e-13	CD8ET
10	ENSG00000116288	PARK7	1	7914351	8145565	137	13	CD8ET_onek1k_ENSG00000116288	0.0733478	4.90899e-13	CD8ET
10	ENSG00000116288	PARK7	1	7914351	8145565	50	6	CD8NC_onek1k_ENSG00000116288	0.0407472	2.21018e-08	CD8NC
10	ENSG00000116288	PARK7	1	7914351	8145565	49	6	CD_delange2017	0.000759418	2.44493e-06	CD8NC
10	ENSG00000116288	PARK7	1	7914351	8145565	49	6	CD8NC_onek1k_ENSG00000116288	0.0420683	1.19049e-08	CD8NC
10	ENSG00000116288	PARK7	1	7914351	8145565	49	6	PD_nalls2019	5.86105e-06	0.188718	CD8NC
10	ENSG00000116288	PARK7	1	7914351	8145565	50	6	SCZ_pardinas2018	6.46358e-05	0.0455076	CD8NC
10	ENSG00000116288	PARK7	1	7914351	8145565	49	6	UC_delange2017	0.000709771	1.51085e-06	CD8NC
10	ENSG00000116288	PARK7	1	7914351	8145565	50	6	ALS_vanrheenen2021	4.3378e-05	0.146924	CD8NC
10	ENSG00000116288	PARK7	1	7914351	8145565	49	6	MS_imsgc2019	6.22932e-05	0.197873	CD8NC
11	ENSG00000049239	H6PD	1	9194834	9431396	12	2	AD_schwartzentruber2021	4.768e-06	0.11636	BIN
11	ENSG00000049239	H6PD	1	9194834	9431396	12	2	BIN_onek1k_ENSG00000049239	0.030106	1.16866e-07	BIN
11	ENSG00000049239	H6PD	1	9194834	9431396	12	2	SCZ_pardinas2018	4.32564e-05	0.037495	BIN
11	ENSG00000049239	H6PD	1	9194834	9431396	12	2	MS_imsgc2019	5.42222e-05	0.120153	BIN
11	ENSG00000049239	H6PD	1	9194834	9431396	10	2	FTD_ferrari2014	1.93895e-05	0.350459	BIN
11	ENSG00000049239	H6PD	1	9194834	9431396	10	2	BIN_onek1k_ENSG00000049239	0.0304162	9.99238e-08	BIN
11	ENSG00000049239	H6PD	1	9194834	9431396	38	12	AD_schwartzentruber2021	1.67602e-05	0.0649003	CD8NC
11	ENSG00000049239	H6PD	1	9194834	9431396	38	12	CD8NC_onek1k_ENSG00000049239	0.0432253	1.7916e-07	CD8NC
11	ENSG00000049239	H6PD	1	9194834	9431396	38	12	CD_delange2017	0.000112788	0.167066	CD8NC
11	ENSG00000049239	H6PD	1	9194834	9431396	38	12	LBD_chia2021	0.0011011	0.0778805	CD8NC
11	ENSG00000049239	H6PD	1	9194834	9431396	38	12	PD_nalls2019	0.000572382	5.90787e-61	CD8NC
11	ENSG00000049239	H6PD	1	9194834	9431396	38	12	SCZ_pardinas2018	1.82686e-05	0.306699	CD8NC
