gene_locus	gene_id	chr	start	stop	n_snps	n_pcs	phen	h2.obs	p	qtl_dataset
EFNB2	ENSG00000125266	13	107042079	107287462	517	132	PD_blauwendraat2019	4.34044e-05	0.439993	pqtls
EFNB2	ENSG00000125266	13	107042079	107287462	517	132	pqtls_EFNB2	0.0218128	8.09916e-14	pqtls
RNASE4	ENSG00000258818	14	21052259	21268761	859	195	PD_blauwendraat2019	0.00228948	0.00203125	pqtls
RNASE4	ENSG00000258818	14	21052259	21268761	859	195	pqtls_RNASE4	0.339732	0	pqtls
ANG	ENSG00000214274	14	21052336	21267130	857	194	PD_blauwendraat2019	0.00207869	0.00403143	pqtls
ANG	ENSG00000214274	14	21052336	21267130	857	194	pqtls_ANG	0.480802	0	pqtls
DTD2	ENSG00000129480	14	31815242	32026716	331	62	pqtls_DTD2	0.100876	6.8878e-134	pqtls
CHGA	ENSG00000100604	14	93289425	93501638	560	101	pqtls_CHGA	0.0487139	5.42879e-47	pqtls
SERPINA11	ENSG00000186910	14	94808801	95019127	723	144	pqtls_SERPINA11	0.130525	6.41806e-155	pqtls
SERPINA9	ENSG00000170054	14	94829054	95046026	763	148	PD_blauwendraat2019	0.00118948	0.0322738	pqtls
SERPINA9	ENSG00000170054	14	94829054	95046026	763	148	pqtls_SERPINA9	0.0657171	3.34505e-61	pqtls
CTSH	ENSG00000103811	15	79113400	79341916	641	103	PD_blauwendraat2019	0.000834848	0.0635858	pqtls
CTSH	ENSG00000103811	15	79113400	79341916	641	103	pqtls_CTSH	0.379224	0	pqtls
NMRAL1	ENSG00000153406	16	4411681	4645764	439	87	PD_blauwendraat2019	0.000651833	0.0956307	pqtls
NMRAL1	ENSG00000153406	16	4411681	4645764	439	87	pqtls_NMRAL1	0.0516128	2.53844e-53	pqtls
NQO1	ENSG00000181019	16	69640899	69860854	347	45	pqtls_NQO1	0.226106	0	pqtls
HP	ENSG00000257017	16	71988491	72194954	521	72	PD_blauwendraat2019	0.000596083	0.0816659	pqtls
HP	ENSG00000257017	16	71988491	72194954	521	72	pqtls_HP	0.383927	0	pqtls
WFDC1	ENSG00000103175	16	84228252	84463450	1087	249	PD_blauwendraat2019	0.00124305	0.0699108	pqtls
WFDC1	ENSG00000103175	16	84228252	84463450	1087	249	pqtls_WFDC1	0.356099	0	pqtls
MXRA7	ENSG00000182534	17	74568633	74807098	494	80	PD_blauwendraat2019	0.000339898	0.246425	pqtls
MXRA7	ENSG00000182534	17	74568633	74807098	494	80	pqtls_MXRA7	0.187896	1.64431e-275	pqtls
SIGLEC15	ENSG00000197046	18	43305477	43524045	438	65	PD_blauwendraat2019	0.00167436	0.000330553	pqtls
SIGLEC15	ENSG00000197046	18	43305477	43524045	438	65	pqtls_SIGLEC15	0.0202078	2.07982e-17	pqtls
FUT3	ENSG00000171124	19	5742899	5951485	548	134	PD_blauwendraat2019	5.40775e-05	0.424475	pqtls
FUT3	ENSG00000171124	19	5742899	5951485	548	134	pqtls_FUT3	0.296479	0	pqtls
ICAM1	ENSG00000090339	19	10281511	10497291	443	108	pqtls_ICAM1	0.680117	0	pqtls
ICAM5	ENSG00000105376	19	10300657	10507454	437	108	pqtls_ICAM5	0.386153	0	pqtls
IL27RA	ENSG00000104998	19	14042560	14263743	241	82	pqtls_IL27RA	0.27484	0	pqtls
PGLYRP2	ENSG00000161031	19	15479456	15709767	404	106	PD_blauwendraat2019	0.000577694	0.141312	pqtls
PGLYRP2	ENSG00000161031	19	15479456	15709767	404	106	pqtls_PGLYRP2	0.0943879	6.1783e-110	pqtls
IGLON5	ENSG00000142549	19	51715102	51933608	511	123	PD_blauwendraat2019	0.00078071	0.0982431	pqtls
IGLON5	ENSG00000142549	19	51715102	51933608	511	123	pqtls_IGLON5	0.0566345	1.49042e-53	pqtls
SIGLEC12	ENSG00000254521	19	51894611	52105043	711	131	pqtls_SIGLEC12	0.460675	0	pqtls
NSFL1C	ENSG00000088833	20	1322807	1554487	649	104	PD_blauwendraat2019	0.000149029	0.35524	pqtls
NSFL1C	ENSG00000088833	20	1322807	1554487	649	104	pqtls_NSFL1C	0.0257076	1.55578e-19	pqtls
ITPA	ENSG00000125877	20	3089514	3304516	612	95	PD_blauwendraat2019	0.000898238	0.0423246	pqtls
ITPA	ENSG00000125877	20	3089514	3304516	612	95	pqtls_ITPA	0.504773	0	pqtls
ATRN	ENSG00000088812	20	3351687	3731769	899	148	PD_blauwendraat2019	0.00156798	0.00894772	pqtls
ATRN	ENSG00000088812	20	3351687	3731769	899	148	pqtls_ATRN	0.219843	1.98994e-305	pqtls
WISP2	ENSG00000064205	20	43243485	43457150	405	128	PD_blauwendraat2019	0.000339188	0.276922	pqtls
WISP2	ENSG00000064205	20	43243485	43457150	405	128	pqtls_WISP2	0.190082	2.00394e-259	pqtls
CBR3	ENSG00000159231	21	37407210	37618864	641	89	pqtls_CBR3	0.322252	0	pqtls
COL18A1	ENSG00000182871	21	46725052	47033634	912	190	PD_blauwendraat2019	0.0010448	0.0872175	pqtls
COL18A1	ENSG00000182871	21	46725052	47033634	912	190	pqtls_COL18A1	0.157054	2.75115e-184	pqtls
CECR1	ENSG00000093072	22	17560194	17802879	605	152	pqtls_CECR1	0.318364	0	pqtls
A4GALT	ENSG00000128274	22	42988127	43217304	697	97	pqtls_A4GALT	0.111184	2.40631e-138	pqtls
PLXNB2	ENSG00000196576	22	50613408	50846056	614	130	PD_blauwendraat2019	0.000843589	0.0708886	pqtls
PLXNB2	ENSG00000196576	22	50613408	50846056	614	130	pqtls_PLXNB2	0.346849	0	pqtls
