gene_locus	gene_id	chr	start	stop	n_snps	n_pcs	phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p
FCN3	ENSG00000142748	1	27595603	27801315	265	69	PD_nalls2019	pqtls_FCN3	-0.0390432	-0.18183	0.1051	0.00152437	0	0.03361	0.588464
EPB41	ENSG00000159023	1	29113603	29546553	796	94	PD_nalls2019	pqtls_EPB41	-0.224177	-0.43806	-0.01281	0.0502553	0.00089	0.1919	0.0364847
PTPRU	ENSG00000060656	1	29463028	29753325	561	123	PD_nalls2019	pqtls_PTPRU	0.0525516	-0.06246	0.16587	0.00276168	0	0.02769	0.361869
TINAGL1	ENSG00000142910	1	31942116	32153288	478	89	PD_nalls2019	pqtls_TINAGL1	0.0050643	-0.26039	0.24859	2.56472e-05	0	0.08474	0.968314
KPNA6	ENSG00000025800	1	32473639	32742169	242	60	PD_nalls2019	pqtls_KPNA6	0.108888	-0.09718	0.31337	0.0118567	0	0.0982	0.295417
KPNA6	ENSG00000025800	1	32473639	32742169	202	39	MS_imsgc2019	pqtls_KPNA6	0.508514	0.20863	0.84878	0.258586	0.04353	0.72043	0.00218781
RSPO1	ENSG00000169218	1	37976951	38200595	499	100	PD_nalls2019	pqtls_RSPO1	0.12756	0.01266	0.24504	0.0162715	0.00032	0.06005	0.0307406
EPHA10	ENSG00000183317	1	38079552	38330805	541	110	PD_nalls2019	pqtls_EPHA10	-0.149469	-0.31866	0.01415	0.0223408	0	0.10154	0.0739544
INPP5B	ENSG00000204084	1	38226369	38512729	458	93	PD_nalls2019	pqtls_INPP5B	-0.0825468	-0.18407	0.01821	0.00681397	0	0.03388	0.109794
PPIE	ENSG00000084072	1	40057854	40329586	695	125	PD_nalls2019	pqtls_PPIE	0.0133816	-0.06045	0.08921	0.000179066	0	0.0083	0.726139
PPT1	ENSG00000131238	1	40438379	40663375	433	56	PD_nalls2019	pqtls_PPT1	0.133167	0.02075	0.2434	0.0177336	0.00057	0.05924	0.0198615
GUCA2B	ENSG00000044012	1	42519092	42721495	352	54	PD_nalls2019	pqtls_GUCA2B	0.0693386	-0.19658	0.33021	0.00480784	0	0.11001	0.593556
PPIH	ENSG00000171960	1	43024096	43242429	443	62	CD_delange2017	pqtls_PPIH	-0.317641	-0.70759	0.04466	0.100896	0	0.50068	0.0919185
PPIH	ENSG00000171960	1	43024096	43242429	451	62	PD_nalls2019	pqtls_PPIH	0.0500181	-0.27073	0.36532	0.00250181	0	0.14258	0.752929
TIE1	ENSG00000066056	1	43666664	43888779	372	79	PD_nalls2019	pqtls_TIE1	0.0440546	-0.11779	0.20914	0.00194081	0	0.04447	0.59472
B4GALT2	ENSG00000117411	1	44344615	44556840	393	82	PD_nalls2019	pqtls_B4GALT2	-0.0750274	-0.22769	0.07777	0.00562911	0	0.05184	0.329836
UROD	ENSG00000126088	1	45377819	45581247	374	59	PD_nalls2019	pqtls_UROD	-0.106874	-0.23656	0.0241	0.011422	0	0.05596	0.110178
TXNDC12	ENSG00000117862	1	52385803	52621843	297	50	PD_nalls2019	pqtls_TXNDC12	0.0408979	-0.22394	0.31244	0.00167263	0	0.10449	0.756574
GPX7	ENSG00000116157	1	52968044	53174723	373	70	PD_nalls2019	pqtls_GPX7	-0.0874655	-0.20706	0.03376	0.00765021	0	0.04288	0.156289
LRP8	ENSG00000157193	1	53611217	53893742	594	130	PD_nalls2019	pqtls_LRP8	-0.0262042	-0.12456	0.0739	0.000686659	0	0.01578	0.605805
LRP8	ENSG00000157193	1	53611217	53893742	578	124	SCZ_pardinas2018	pqtls_LRP8	-0.00831839	-0.25405	0.23195	6.91956e-05	0	0.07797	0.944874
PCSK9	ENSG00000169174	1	55405221	55630525	551	125	PD_nalls2019	pqtls_PCSK9	0.0217185	-0.07728	0.12002	0.000471693	0	0.01473	0.66296
ANGPTL3	ENSG00000132855	1	62963158	63171830	213	39	PD_nalls2019	pqtls_ANGPTL3	0.302826	0.07501	0.52955	0.0917038	0.00583	0.28042	0.010234
PGM1	ENSG00000079739	1	63958947	64225916	718	109	PD_nalls2019	pqtls_PGM1	0.0534788	-0.14354	0.24913	0.00285998	0	0.0629	0.588435
ROR1	ENSG00000185483	1	64139693	64747181	1351	192	PD_nalls2019	pqtls_ROR1	0.040041	-0.03602	0.11525	0.00160328	0	0.01329	0.293543
LEPR	ENSG00000116678	1	65786248	66207242	1061	110	PD_nalls2019	pqtls_LEPR	0.0635496	-0.00369	0.12986	0.00403855	0	0.01686	0.0645251
IL23R	ENSG00000162594	1	67532083	67825662	702	103	CD_delange2017	pqtls_IL23R	0.512576	0.34759	0.68451	0.262734	0.12082	0.46855	3.19918e-08
IL23R	ENSG00000162594	1	67532083	67825662	735	106	PD_nalls2019	pqtls_IL23R	0.128167	-0.10288	0.36452	0.0164269	0	0.13287	0.276897
IL23R	ENSG00000162594	1	67532083	67825662	702	103	UC_delange2017	pqtls_IL23R	0.504907	0.30944	0.70422	0.254931	0.09575	0.49592	4.30914e-06
NEGR1	ENSG00000172260	1	71761623	72848417	945	142	PD_nalls2019	pqtls_NEGR1	0.306526	0.19344	0.41997	0.0939584	0.03742	0.17637	3.17223e-07
CRYZ	ENSG00000116791	1	75071170	75299092	479	69	PD_nalls2019	pqtls_CRYZ	-0.0383654	-0.15059	0.07481	0.0014719	0	0.02281	0.503995
ACADM	ENSG00000117054	1	76090036	76353260	759	52	PD_nalls2019	pqtls_ACADM	0.0267219	-0.1342	0.18803	0.00071406	0	0.03715	0.745613
DNAJB4	ENSG00000162616	1	78344859	78583648	412	55	PD_nalls2019	pqtls_DNAJB4	-0.163049	-0.32861	0.00461	0.026585	0	0.10799	0.0561187
DDAH1	ENSG00000153904	1	85684164	86143933	1085	154	PD_nalls2019	pqtls_DDAH1	0.0566243	-0.13357	0.24714	0.00320631	0	0.062	0.554261
DDAH1	ENSG00000153904	1	85684164	86143933	1096	144	MS_imsgc2019	pqtls_DDAH1	0.282952	-0.0096	0.59625	0.080062	0	0.35551	0.0644485
CCBL2	ENSG00000137944	1	89301456	89558636	542	84	PD_nalls2019	pqtls_CCBL2	0.12419	-0.07548	0.32526	0.0154232	0	0.10579	0.223391
GBP1	ENSG00000117228	1	89418002	89631043	414	65	PD_nalls2019	pqtls_GBP1	0.0621418	-0.14818	0.27645	0.0038616	0	0.07733	0.566582
GBP2	ENSG00000162645	1	89471815	89716139	478	70	PD_nalls2019	pqtls_GBP2	0.00541295	-0.25897	0.27165	2.93e-05	0	0.0942	0.967454
TGFBR3	ENSG00000069702	1	92045902	92471892	1170	166	PD_nalls2019	pqtls_TGFBR3	-0.201262	-0.31975	-0.08495	0.0405064	0.00722	0.10224	0.000930597
GCLM	ENSG00000023909	1	94250761	94474966	661	69	PD_nalls2019	pqtls_GCLM	0.330752	0.10065	0.57132	0.109397	0.01023	0.32641	0.00705598
VCAM1	ENSG00000162692	1	101085298	101304601	453	64	PD_nalls2019	pqtls_VCAM1	-0.0942065	-0.3331	0.1401	0.00887486	0	0.11121	0.43085
VCAM1	ENSG00000162692	1	101085298	101304601	476	50	MS_imsgc2019	pqtls_VCAM1	0.0223153	-0.25099	0.29573	0.000497971	0	0.1015	0.870486
AMY2B	ENSG00000240038	1	103996437	104222156	136	37	PD_nalls2019	pqtls_AMY2B	0.0120215	-0.09919	0.12605	0.000144516	0	0.01756	0.836776
AMY2A	ENSG00000243480	1	104059999	104268402	89	27	PD_nalls2019	pqtls_AMY2A	0.157551	0.01149	0.29711	0.0248223	0.00044	0.08828	0.0344411
AMY1A	ENSG00000237763	1	104097912	104307173	48	22	PD_nalls2019	pqtls_AMY1A	0.0849946	-0.14934	0.31728	0.00722408	0	0.10172	0.466885
NTNG1	ENSG00000162631	1	107582629	108126080	956	199	LBD_chia2021	pqtls_NTNG1	0.023553	-0.17112	0.22383	0.000554743	0	0.05669	0.814742
NTNG1	ENSG00000162631	1	107582629	108126080	969	202	PD_nalls2019	pqtls_NTNG1	-0.00784453	-0.07806	0.06158	6.15366e-05	0	0.00665	0.826821
GSTM4	ENSG00000168765	1	110098703	110308118	325	86	PD_nalls2019	pqtls_GSTM4	0.114557	0.02778	0.20337	0.0131234	0.00082	0.04136	0.0111493
GSTM1	ENSG00000134184	1	110130436	110351661	402	105	PD_nalls2019	pqtls_GSTM1	0.0241686	-0.0478	0.09623	0.00058412	0	0.00935	0.510691
GSTM3	ENSG00000134202	1	110176554	110384384	440	106	PD_nalls2019	pqtls_GSTM3	0.0309992	-0.0376	0.10255	0.000960952	0	0.01052	0.387183
CHI3L2	ENSG00000064886	1	111643393	111886062	711	105	PD_nalls2019	pqtls_CHI3L2	-0.199697	-0.38234	-0.01687	0.039879	0.00066	0.14619	0.0315347
CAPZA1	ENSG00000116489	1	113061795	113314241	424	71	PD_nalls2019	pqtls_CAPZA1	-0.240648	-0.57906	0.07358	0.0579112	0	0.33531	0.126327
RHOC	ENSG00000155366	1	113143728	113350056	346	75	PD_nalls2019	pqtls_RHOC	-0.0183435	-0.17156	0.13268	0.000336484	0	0.03203	0.810814
OLFML3	ENSG00000116774	1	114422063	114624876	342	94	CD_delange2017	pqtls_OLFML3	0.176117	-0.13204	0.4953	0.0310174	0	0.24532	0.257256
OLFML3	ENSG00000116774	1	114422063	114624876	346	98	PD_nalls2019	pqtls_OLFML3	0.180488	-0.0015	0.36022	0.0325758	0	0.12976	0.0492872
CD58	ENSG00000116815	1	116957157	117213661	266	106	PD_nalls2019	pqtls_CD58	-0.0743172	-0.23042	0.08364	0.00552305	0	0.0531	0.348162
IGSF3	ENSG00000143061	1	117017031	117310375	339	131	PD_nalls2019	pqtls_IGSF3	-0.0737011	-0.19306	0.04214	0.00543186	0	0.03727	0.219393
IGSF3	ENSG00000143061	1	117017031	117310375	311	113	MS_imsgc2019	pqtls_IGSF3	0.00428287	-0.27801	0.27831	1.8343e-05	0	0.10009	0.974756
PTGFRN	ENSG00000134247	1	117352679	117632980	543	118	PD_nalls2019	pqtls_PTGFRN	0.139538	0.03147	0.24841	0.0194709	0.00106	0.06171	0.0125193
MAN1A2	ENSG00000198162	1	117810071	118171494	847	87	PD_nalls2019	pqtls_MAN1A2	0.0856919	-0.02335	0.19076	0.0073431	0	0.03639	0.113143
REG4	ENSG00000134193	1	120236641	120454283	361	69	PD_nalls2019	pqtls_REG4	-0.00808545	-0.17428	0.15907	6.53744e-05	0	0.037	0.924548
ACP6	ENSG00000162836	1	147001453	147242618	544	117	PD_nalls2019	pqtls_ACP6	0.183365	0.09621	0.2685	0.0336226	0.00926	0.07209	4.57915e-05
BOLA1	ENSG00000178096	1	149759440	149972351	120	26	PD_nalls2019	pqtls_BOLA1	-0.0484875	-0.14853	0.04992	0.00235103	0	0.02206	0.33284
ECM1	ENSG00000143369	1	150380538	150586265	412	59	PD_nalls2019	pqtls_ECM1	-0.163194	-0.29867	-0.02461	0.0266322	0.00078	0.0892	0.0221725
MCL1	ENSG00000143384	1	150447032	150652066	382	69	PD_nalls2019	pqtls_MCL1	-0.0948086	-0.27225	0.09055	0.00898866	0	0.07412	0.305731
CTSS	ENSG00000163131	1	150602672	150838433	392	40	PD_nalls2019	pqtls_CTSS	-0.188516	-0.31834	-0.05588	0.0355381	0.00314	0.10134	0.00598659
PSMB4	ENSG00000159377	1	151272010	151474420	240	70	PD_nalls2019	pqtls_PSMB4	0.0238241	-0.06303	0.11198	0.000567589	0	0.01279	0.592226
PGLYRP3	ENSG00000159527	1	153170338	153383194	553	92	PD_nalls2019	pqtls_PGLYRP3	-0.162694	-0.31777	-0.00585	0.0264694	0.00035	0.10098	0.0405475
S100A12	ENSG00000163221	1	153246184	153448125	465	95	PD_nalls2019	pqtls_S100A12	0.00180439	-0.12977	0.13641	3.25582e-06	0	0.02322	0.978862
S100A16	ENSG00000188643	1	153479362	153685621	322	87	PD_nalls2019	pqtls_S100A16	0.231653	0.12374	0.33756	0.0536633	0.01531	0.11395	4.2738e-05
S100A14	ENSG00000189334	1	153486731	153689462	306	86	PD_nalls2019	pqtls_S100A14	0.00462261	-0.18717	0.1958	2.13685e-05	0	0.04755	0.961609
CREB3L4	ENSG00000143578	1	153840010	154046839	254	56	PD_nalls2019	pqtls_CREB3L4	0.0135766	-0.14744	0.17715	0.000184325	0	0.03642	0.870085
IL6R	ENSG00000160712	1	154277669	154541926	593	83	PD_nalls2019	pqtls_IL6R	0.000820026	-0.101	0.10071	6.72442e-07	0	0.01342	0.987259
EFNA4	ENSG00000243364	1	154936207	155142029	289	82	CD_delange2017	pqtls_EFNA4	-0.185893	-0.52911	0.15021	0.0345563	0	0.2802	0.269978
EFNA4	ENSG00000243364	1	154936207	155142029	277	75	LBD_chia2021	pqtls_EFNA4	-0.25247	-0.59641	0.0814	0.063741	0	0.35571	0.135884
EFNA4	ENSG00000243364	1	154936207	155142029	283	82	PD_nalls2019	pqtls_EFNA4	-0.127033	-0.36516	0.11177	0.0161373	0	0.13334	0.285391
EFNA3	ENSG00000143590	1	154936224	155160014	316	87	CD_delange2017	pqtls_EFNA3	-0.14254	-0.56163	0.25636	0.0203175	0	0.31974	0.46041
EFNA3	ENSG00000143590	1	154936224	155160014	299	79	LBD_chia2021	pqtls_EFNA3	-0.38095	-0.73084	-0.05543	0.145123	0.00463	0.53412	0.0274162
EFNA3	ENSG00000143590	1	154936224	155160014	310	88	PD_nalls2019	pqtls_EFNA3	-0.18371	-0.44861	0.07444	0.0337492	0	0.20125	0.167332
THBS3	ENSG00000169231	1	155065379	155278842	284	58	LBD_chia2021	pqtls_THBS3	-0.145154	-0.51048	0.21662	0.0210698	0	0.26183	0.417141
THBS3	ENSG00000169231	1	155065379	155278842	294	66	PD_nalls2019	pqtls_THBS3	0.119556	-0.19952	0.43901	0.0142935	0	0.19366	0.447544
SEMA4A	ENSG00000196189	1	156017157	156247543	396	92	PD_nalls2019	pqtls_SEMA4A	-0.0496194	-0.19786	0.09433	0.00246209	0	0.03939	0.498334
APOA1BP	ENSG00000163382	1	156461554	156664091	369	86	PD_nalls2019	pqtls_APOA1BP	-0.00885067	-0.10562	0.08621	7.83344e-05	0	0.01276	0.856326
BCAN	ENSG00000132692	1	156511182	156729324	391	98	PD_nalls2019	pqtls_BCAN	0.0763869	-0.03763	0.18913	0.00583496	0	0.03577	0.186941
CRABP2	ENSG00000143320	1	156569398	156775608	352	86	PD_nalls2019	pqtls_CRABP2	0.123217	0.0304	0.2136	0.0151825	0.00096	0.04563	0.0102081
HDGF	ENSG00000143321	1	156611899	156836717	390	97	PD_nalls2019	pqtls_HDGF	0.137287	0.03023	0.24418	0.0188478	0.00095	0.05962	0.0117686
PEAR1	ENSG00000187800	1	156763490	156986226	431	82	PD_nalls2019	pqtls_PEAR1	-0.191544	-0.35683	-0.02808	0.0366892	0.00108	0.12733	0.0242947
FCRL4	ENSG00000163518	1	157443539	157667870	541	80	PD_nalls2019	pqtls_FCRL4	-0.13	-0.265	0.00478	0.0168999	0	0.07023	0.060799
FCRL3	ENSG00000160856	1	157544111	157770647	494	61	PD_nalls2019	pqtls_FCRL3	-0.138503	-0.2961	0.01822	0.019183	0	0.08768	0.0845967
FCRL3	ENSG00000160856	1	157544111	157770647	476	47	MS_imsgc2019	pqtls_FCRL3	-0.641715	-0.82359	-0.46158	0.411798	0.21306	0.6783	1.53664e-09
FCRL1	ENSG00000163534	1	157664193	157889895	452	78	PD_nalls2019	pqtls_FCRL1	0.0347675	-0.09687	0.16557	0.00120878	0	0.02792	0.60798
FCRL1	ENSG00000163534	1	157664193	157889895	430	59	MS_imsgc2019	pqtls_FCRL1	-0.284241	-0.46561	-0.10473	0.0807928	0.01097	0.21679	0.00239476
CD5L	ENSG00000073754	1	157700704	157968046	525	98	PD_nalls2019	pqtls_CD5L	-0.0617342	-0.17808	0.05757	0.00381112	0	0.03173	0.303859
CD5L	ENSG00000073754	1	157700704	157968046	511	79	MS_imsgc2019	pqtls_CD5L	0.173223	-0.00734	0.35957	0.0300062	0	0.12929	0.0632852
CRP	ENSG00000132693	1	159582079	159784379	465	96	PD_nalls2019	pqtls_CRP	0.0478223	-0.09819	0.19085	0.00228697	0	0.03689	0.513839
FCRL6	ENSG00000181036	1	159670301	159886041	500	115	CD_delange2017	pqtls_FCRL6	0.193919	-0.03049	0.42807	0.0376047	0	0.18324	0.0900554
FCRL6	ENSG00000181036	1	159670301	159886041	500	116	PD_nalls2019	pqtls_FCRL6	-0.12813	-0.22547	-0.03171	0.0164172	0.00102	0.05084	0.00966966
TAGLN2	ENSG00000158710	1	159787897	159995522	531	135	CD_delange2017	pqtls_TAGLN2	-0.229652	-0.54657	0.0661	0.05274	0	0.29874	0.121597
TAGLN2	ENSG00000158710	1	159787897	159995522	532	137	PD_nalls2019	pqtls_TAGLN2	-0.160339	-0.2924	-0.02805	0.0257084	0.00094	0.0855	0.0171054
IGSF8	ENSG00000162729	1	159961130	160168733	519	121	PD_nalls2019	pqtls_IGSF8	-0.00891097	-0.13436	0.1183	7.94054e-05	0	0.0209	0.887677
SLAMF6	ENSG00000162739	1	160354820	160593052	579	80	PD_nalls2019	pqtls_SLAMF6	0.157296	0.0287	0.28685	0.0247419	0.00095	0.08228	0.0188497
SLAMF6	ENSG00000162739	1	160354820	160593052	571	64	MS_imsgc2019	pqtls_SLAMF6	-0.306568	-0.54991	-0.0662	0.0939836	0.00452	0.3024	0.0120429
SLAMF1	ENSG00000117090	1	160477890	160717085	647	111	PD_nalls2019	pqtls_SLAMF1	-0.055309	-0.28427	0.16724	0.00305908	0	0.08192	0.62189
SLAMF1	ENSG00000117090	1	160477890	160717085	638	90	MS_imsgc2019	pqtls_SLAMF1	0.0338096	-0.33058	0.39338	0.00114309	0	0.18078	0.845998
CD48	ENSG00000117091	1	160548536	160781641	570	125	PD_nalls2019	pqtls_CD48	0.19462	0.11867	0.26941	0.0378769	0.01408	0.07258	7.3932e-07
CD48	ENSG00000117091	1	160548536	160781641	564	103	MS_imsgc2019	pqtls_CD48	-0.171404	-0.36685	0.01841	0.0293795	0	0.13458	0.0789221
SLAMF7	ENSG00000026751	1	160609037	160824611	463	120	CD_delange2017	pqtls_SLAMF7	-0.0219108	-0.26143	0.20727	0.000480083	0	0.07893	0.852561
SLAMF7	ENSG00000026751	1	160609037	160824611	453	116	PD_nalls2019	pqtls_SLAMF7	-0.000968281	-0.07354	0.07485	9.37569e-07	0	0.00698	0.979707
SLAMF7	ENSG00000026751	1	160609037	160824611	447	96	MS_imsgc2019	pqtls_SLAMF7	0.291093	0.10602	0.48331	0.0847351	0.01124	0.23358	0.00301058
LY9	ENSG00000122224	1	160665864	160898051	543	105	CD_delange2017	pqtls_LY9	0.345183	0.11095	0.60087	0.119151	0.01235	0.36105	0.00443404
LY9	ENSG00000122224	1	160665864	160898051	529	98	PD_nalls2019	pqtls_LY9	0.0136719	-0.08289	0.10893	0.00018692	0	0.01288	0.780955
LY9	ENSG00000122224	1	160665864	160898051	519	77	MS_imsgc2019	pqtls_LY9	0.288199	0.02744	0.58091	0.0830589	0.00211	0.33746	0.0277719
CD244	ENSG00000122223	1	160699950	160932692	503	87	PD_nalls2019	pqtls_CD244	0.0124034	-0.35559	0.37655	0.000153845	0	0.1788	0.942994
ITLN1	ENSG00000179914	1	160746329	160954960	522	81	PD_nalls2019	pqtls_ITLN1	-0.212033	-0.44759	0.02474	0.0449582	0	0.20033	0.080502
TSTD1	ENSG00000215845	1	160907421	161108780	418	87	CD_delange2017	pqtls_TSTD1	0.081748	-0.15351	0.31565	0.00668274	0	0.1007	0.484063
TSTD1	ENSG00000215845	1	160907421	161108780	417	89	PD_nalls2019	pqtls_TSTD1	-0.119227	-0.33543	0.09026	0.0142151	0	0.11251	0.264887
TSTD1	ENSG00000215845	1	160907421	161108780	419	88	UC_delange2017	pqtls_TSTD1	-0.0138715	-0.25128	0.21929	0.000192419	0	0.07287	0.903234
FCGR2A	ENSG00000143226	1	161375220	161593803	285	75	PD_nalls2019	pqtls_FCGR2A	0.236892	0.1736	0.30064	0.0561177	0.03014	0.09038	6.02445e-13
FCGR2A	ENSG00000143226	1	161375220	161593803	313	78	UC_delange2017	pqtls_FCGR2A	-0.675061	-0.79036	-0.559	0.455708	0.31248	0.62467	1.44136e-20
FCGR2A	ENSG00000143226	1	161375220	161593803	247	45	MS_imsgc2019	pqtls_FCGR2A	-0.0698122	-0.33527	0.19886	0.00487374	0	0.11548	0.590382
FCGR3A	ENSG00000203747	1	161411549	161700917	390	100	PD_nalls2019	pqtls_FCGR3A	0.0220066	-0.02774	0.07339	0.000484291	0	0.00539	0.387579
FCGR3A	ENSG00000203747	1	161411549	161700917	417	102	UC_delange2017	pqtls_FCGR3A	0.27825	0.12832	0.4291	0.0774232	0.01647	0.18413	0.000183492
FCGR3A	ENSG00000203747	1	161411549	161700917	359	79	MS_imsgc2019	pqtls_FCGR3A	0.39593	0.17558	0.65702	0.15676	0.03083	0.43167	0.000885647
FCGR2B	ENSG00000072694	1	161451101	161748444	509	114	PD_nalls2019	pqtls_FCGR2B	0.0616213	0.01233	0.10923	0.00379718	0.00017	0.01193	0.013369
FCGR2B	ENSG00000072694	1	161451101	161748444	534	117	UC_delange2017	pqtls_FCGR2B	-0.467256	-0.60744	-0.32999	0.218328	0.10889	0.36898	2.70046e-10
FCGR2B	ENSG00000072694	1	161451101	161748444	480	94	MS_imsgc2019	pqtls_FCGR2B	-0.0826521	-0.29707	0.13064	0.00683137	0	0.08847	0.435555
FCGR3B	ENSG00000162747	1	161492986	161701753	295	76	PD_nalls2019	pqtls_FCGR3B	0.00157265	-0.07895	0.08403	2.47321e-06	0	0.00887	0.97008
FCGR3B	ENSG00000162747	1	161492986	161701753	321	80	UC_delange2017	pqtls_FCGR3B	0.677902	0.50191	0.8774	0.459551	0.25191	0.76983	2.31681e-10
FCRLB	ENSG00000162746	1	161591353	161797933	454	76	PD_nalls2019	pqtls_FCRLB	-0.0372506	-0.12877	0.05686	0.0013876	0	0.01658	0.431549
CREG1	ENSG00000143162	1	167398914	167623004	715	164	PD_nalls2019	pqtls_CREG1	-0.100246	-0.2057	0.00672	0.0100492	0	0.04231	0.0636476
XCL2	ENSG00000143185	1	168410003	168613235	518	111	PD_nalls2019	pqtls_XCL2	-0.218568	-0.36807	-0.06994	0.0477722	0.00489	0.13547	0.00526168
