gene_locus	gene_name	chr	start	stop	n_snps	n_pcs	phen	h2.obs	p	qtl_dataset
ENSG00000136717	BIN1	2	127705603	127964931	170	20	AD_wightman2021	0.000445878	1.94525e-62	CD8NC
ENSG00000234745	HLA_B	6	31221649	31424965	203	32	AD_kunkle2019	0.000106004	0.184621	BIN
ENSG00000234745	HLA_B	6	31221649	31424965	203	32	BIN_onek1k_ENSG00000234745	0.513006	7.84209e-132	BIN
ENSG00000234745	HLA_B	6	31221649	31424965	18	12	AD_wightman2021	2.62503e-05	0.00261974	BIN
ENSG00000234745	HLA_B	6	31221649	31424965	18	12	BIN_onek1k_ENSG00000234745	0.310429	1.23018e-72	BIN
ENSG00000234745	HLA_B	6	31221649	31424965	211	27	AD_kunkle2019	0.000104321	0.168322	BMem
ENSG00000234745	HLA_B	6	31221649	31424965	211	27	BMem_onek1k_ENSG00000234745	0.494395	3.96734e-127	BMem
ENSG00000234745	HLA_B	6	31221649	31424965	16	7	AD_wightman2021	1.10129e-05	0.0385955	BMem
ENSG00000234745	HLA_B	6	31221649	31424965	16	7	BMem_onek1k_ENSG00000234745	0.231214	3.2845e-53	BMem
ENSG00000234745	HLA_B	6	31221649	31424965	415	39	AD_kunkle2019	0.000249262	0.043617	CD4ET
ENSG00000234745	HLA_B	6	31221649	31424965	415	39	CD4ET_onek1k_ENSG00000234745	0.693335	1.98456e-220	CD4ET
ENSG00000234745	HLA_B	6	31221649	31424965	35	18	AD_wightman2021	2.53112e-05	0.00861476	CD4ET
ENSG00000234745	HLA_B	6	31221649	31424965	35	18	CD4ET_onek1k_ENSG00000234745	0.445634	8.55266e-114	CD4ET
ENSG00000234745	HLA_B	6	31221649	31424965	262	27	AD_kunkle2019	6.20986e-05	0.261726	CD4NC
ENSG00000234745	HLA_B	6	31221649	31424965	262	27	CD4NC_onek1k_ENSG00000234745	0.635763	9.02667e-194	CD4NC
ENSG00000234745	HLA_B	6	31221649	31424965	15	9	AD_wightman2021	1.39526e-05	0.0310889	CD4NC
ENSG00000234745	HLA_B	6	31221649	31424965	15	9	CD4NC_onek1k_ENSG00000234745	0.368438	8.17854e-93	CD4NC
ENSG00000234745	HLA_B	6	31221649	31424965	529	37	AD_kunkle2019	0.000371731	0.00706385	CD8ET
ENSG00000234745	HLA_B	6	31221649	31424965	529	37	CD8ET_onek1k_ENSG00000234745	0.830232	0	CD8ET
ENSG00000234745	HLA_B	6	31221649	31424965	51	19	AD_wightman2021	3.34629e-05	0.00192656	CD8ET
ENSG00000234745	HLA_B	6	31221649	31424965	51	19	CD8ET_onek1k_ENSG00000234745	0.646832	4.85191e-206	CD8ET
ENSG00000234745	HLA_B	6	31221649	31424965	349	37	AD_kunkle2019	0.000246548	0.042819	CD8NC
ENSG00000234745	HLA_B	6	31221649	31424965	349	37	CD8NC_onek1k_ENSG00000234745	0.688207	1.92888e-218	CD8NC
ENSG00000234745	HLA_B	6	31221649	31424965	26	15	AD_wightman2021	3.56012e-05	0.000470976	CD8NC
ENSG00000234745	HLA_B	6	31221649	31424965	26	15	CD8NC_onek1k_ENSG00000234745	0.422595	2.47076e-107	CD8NC
ENSG00000234745	HLA_B	6	31221649	31424965	268	30	AD_kunkle2019	0.000186628	0.0700761	MonoC
ENSG00000234745	HLA_B	6	31221649	31424965	268	30	MonoC_onek1k_ENSG00000234745	0.416287	9.82614e-97	MonoC
ENSG00000234745	HLA_B	6	31221649	31424965	20	12	AD_wightman2021	2.44331e-05	0.0035945	MonoC
ENSG00000234745	HLA_B	6	31221649	31424965	20	12	MonoC_onek1k_ENSG00000234745	0.257011	2.50896e-57	MonoC
ENSG00000198502	HLA_DRB5	6	32385120	32598064	112	18	AD_kunkle2019	0.000305432	0.00437259	BIN
ENSG00000198502	HLA_DRB5	6	32385120	32598064	112	18	BIN_onek1k_ENSG00000198502	0.620845	3.99984e-192	BIN
ENSG00000198502	HLA_DRB5	6	32385120	32598064	162	21	AD_kunkle2019	0.000300007	0.00682869	BMem
ENSG00000198502	HLA_DRB5	6	32385120	32598064	162	21	BMem_onek1k_ENSG00000198502	0.476119	1.6851e-123	BMem
ENSG00000198502	HLA_DRB5	6	32385120	32598064	92	33	AD_kunkle2019	0.000168173	0.0976132	CD4ET
ENSG00000198502	HLA_DRB5	6	32385120	32598064	92	33	CD4ET_onek1k_ENSG00000198502	0.200228	8.13184e-35	CD4ET
ENSG00000198502	HLA_DRB5	6	32385120	32598064	3	3	AD_wightman2021	6.52008e-05	3.90542e-08	CD4ET
ENSG00000198502	HLA_DRB5	6	32385120	32598064	3	3	CD4ET_onek1k_ENSG00000198502	0.0727777	1.39484e-16	CD4ET
ENSG00000198502	HLA_DRB5	6	32385120	32598064	44	18	AD_kunkle2019	0.000488169	9.9274e-05	CD4NC
ENSG00000198502	HLA_DRB5	6	32385120	32598064	44	18	CD4NC_onek1k_ENSG00000198502	0.208117	1.06381e-41	CD4NC
ENSG00000198502	HLA_DRB5	6	32385120	32598064	170	29	AD_kunkle2019	0.000528359	0.000273839	CD8ET
ENSG00000198502	HLA_DRB5	6	32385120	32598064	170	29	CD8ET_onek1k_ENSG00000198502	0.508099	1.62239e-131	CD8ET
ENSG00000198502	HLA_DRB5	6	32385120	32598064	3	3	AD_wightman2021	0.000136128	3.29451e-11	CD8ET
ENSG00000198502	HLA_DRB5	6	32385120	32598064	3	3	CD8ET_onek1k_ENSG00000198502	0.324204	1.92602e-83	CD8ET
ENSG00000198502	HLA_DRB5	6	32385120	32598064	117	37	AD_kunkle2019	0.000343865	0.0125791	CD8NC
ENSG00000198502	HLA_DRB5	6	32385120	32598064	117	37	CD8NC_onek1k_ENSG00000198502	0.243692	6.11139e-44	CD8NC
ENSG00000198502	HLA_DRB5	6	32385120	32598064	3	3	AD_wightman2021	8.84629e-05	4.72303e-12	CD8NC
ENSG00000198502	HLA_DRB5	6	32385120	32598064	3	3	CD8NC_onek1k_ENSG00000198502	0.0906905	1.1133e-20	CD8NC
ENSG00000198502	HLA_DRB5	6	32385120	32598064	174	39	AD_kunkle2019	0.000230798	0.0572161	MonoC
ENSG00000198502	HLA_DRB5	6	32385120	32598064	174	39	MonoC_onek1k_ENSG00000198502	0.577461	3.07183e-156	MonoC
ENSG00000198502	HLA_DRB5	6	32385120	32598064	6	3	AD_wightman2021	3.27085e-05	8.7279e-06	MonoC
ENSG00000198502	HLA_DRB5	6	32385120	32598064	6	3	MonoC_onek1k_ENSG00000198502	0.263424	3.38609e-65	MonoC
ENSG00000196126	HLA_DRB1	6	32446546	32657625	54	18	AD_kunkle2019	0.000498822	7.69112e-05	BIN
ENSG00000196126	HLA_DRB1	6	32446546	32657625	54	18	BIN_onek1k_ENSG00000196126	0.142555	3.08215e-26	BIN
ENSG00000196126	HLA_DRB1	6	32446546	32657625	4	3	AD_wightman2021	9.25226e-06	0.0676801	BIN
ENSG00000196126	HLA_DRB1	6	32446546	32657625	4	3	BIN_onek1k_ENSG00000196126	0.069151	9.18752e-16	BIN
ENSG00000196126	HLA_DRB1	6	32446546	32657625	12	8	AD_kunkle2019	0.000456306	1.10568e-05	BMem
ENSG00000196126	HLA_DRB1	6	32446546	32657625	12	8	BMem_onek1k_ENSG00000196126	0.141091	8.9274e-30	BMem
ENSG00000196126	HLA_DRB1	6	32446546	32657625	5	3	AD_wightman2021	5.12279e-06	0.134796	BMem
ENSG00000196126	HLA_DRB1	6	32446546	32657625	5	3	BMem_onek1k_ENSG00000196126	0.0218281	1.87883e-05	BMem
ENSG00000196735	HLA_DQA1	6	32495956	32714839	74	3	BIN_onek1k_ENSG00000196735	0.0245156	5.13201e-06	BIN
ENSG00000196735	HLA_DQA1	6	32495956	32714839	4	4	BMem_onek1k_ENSG00000196735	0.0501248	4.57816e-11	BMem
ENSG00000196735	HLA_DQA1	6	32495956	32714839	19	8	AD_kunkle2019	0.000238939	0.00309495	CD8ET
ENSG00000196735	HLA_DQA1	6	32495956	32714839	19	8	CD8ET_onek1k_ENSG00000196735	0.183218	4.41411e-40	CD8ET
ENSG00000196735	HLA_DQA1	6	32495956	32714839	9	6	AD_wightman2021	0.000344756	2.87999e-43	CD8ET
ENSG00000196735	HLA_DQA1	6	32495956	32714839	9	6	CD8ET_onek1k_ENSG00000196735	0.0701583	1.44416e-14	CD8ET
ENSG00000196735	HLA_DQA1	6	32495956	32714839	34	16	AD_kunkle2019	0.000396246	0.000477815	MonoC
ENSG00000196735	HLA_DQA1	6	32495956	32714839	34	16	MonoC_onek1k_ENSG00000196735	0.0907682	8.76975e-16	MonoC
ENSG00000179344	HLA_DQB1	6	32527244	32736160	15	9	AD_kunkle2019	0.000362937	0.000188123	BIN
ENSG00000179344	HLA_DQB1	6	32527244	32736160	15	9	BIN_onek1k_ENSG00000179344	0.213229	3.11987e-47	BIN
ENSG00000179344	HLA_DQB1	6	32527244	32736160	4	3	AD_wightman2021	0.000328687	3.02648e-36	BIN
ENSG00000179344	HLA_DQB1	6	32527244	32736160	4	3	BIN_onek1k_ENSG00000179344	0.13108	2.97877e-30	BIN
ENSG00000179344	HLA_DQB1	6	32527244	32736160	4	3	AD_kunkle2019	0.000122778	0.0124927	BMem
ENSG00000179344	HLA_DQB1	6	32527244	32736160	4	3	BMem_onek1k_ENSG00000179344	0.0600524	1.00129e-13	BMem
ENSG00000179344	HLA_DQB1	6	32527244	32736160	157	28	AD_kunkle2019	0.000489717	0.000483255	CD4NC
ENSG00000179344	HLA_DQB1	6	32527244	32736160	157	28	CD4NC_onek1k_ENSG00000179344	0.100718	3.56834e-15	CD4NC
ENSG00000179344	HLA_DQB1	6	32527244	32736160	2	2	AD_wightman2021	3.54805e-06	0.159922	CD4NC
ENSG00000179344	HLA_DQB1	6	32527244	32736160	2	2	CD4NC_onek1k_ENSG00000179344	0.027195	5.06722e-07	CD4NC
ENSG00000179344	HLA_DQB1	6	32527244	32736160	257	38	AD_kunkle2019	0.000772493	6.73821e-06	CD8ET
ENSG00000179344	HLA_DQB1	6	32527244	32736160	257	38	CD8ET_onek1k_ENSG00000179344	0.17186	2.55983e-27	CD8ET
ENSG00000179344	HLA_DQB1	6	32527244	32736160	5	5	AD_wightman2021	5.14668e-05	2.09918e-06	CD8ET
ENSG00000179344	HLA_DQB1	6	32527244	32736160	5	5	CD8ET_onek1k_ENSG00000179344	0.0636961	1.41363e-13	CD8ET
ENSG00000179344	HLA_DQB1	6	32527244	32736160	53	18	AD_kunkle2019	0.000554541	1.21148e-05	CD8NC
ENSG00000179344	HLA_DQB1	6	32527244	32736160	53	18	CD8NC_onek1k_ENSG00000179344	0.0522286	4.40832e-08	CD8NC
ENSG00000179344	HLA_DQB1	6	32527244	32736160	2	2	AD_wightman2021	7.70221e-06	0.0737589	CD8NC
ENSG00000179344	HLA_DQB1	6	32527244	32736160	2	2	CD8NC_onek1k_ENSG00000179344	0.0149318	0.000233295	CD8NC
ENSG00000179344	HLA_DQB1	6	32527244	32736160	151	32	AD_kunkle2019	0.000542834	0.000227644	MonoC
ENSG00000179344	HLA_DQB1	6	32527244	32736160	151	32	MonoC_onek1k_ENSG00000179344	0.348135	4.52789e-74	MonoC
ENSG00000179344	HLA_DQB1	6	32527244	32736160	3	3	AD_wightman2021	0.000597159	1.47388e-61	MonoC
ENSG00000179344	HLA_DQB1	6	32527244	32736160	3	3	MonoC_onek1k_ENSG00000179344	0.0341487	4.61202e-08	MonoC
ENSG00000237541	HLA_DQA2	6	32609119	32814992	243	30	AD_kunkle2019	0.000587473	0.000100454	BIN
ENSG00000237541	HLA_DQA2	6	32609119	32814992	243	30	BIN_onek1k_ENSG00000237541	0.649952	8.70033e-200	BIN
ENSG00000237541	HLA_DQA2	6	32609119	32814992	15	8	AD_wightman2021	3.46668e-05	9.12232e-05	BIN
ENSG00000237541	HLA_DQA2	6	32609119	32814992	15	8	BIN_onek1k_ENSG00000237541	0.260748	1.0275e-60	BIN
ENSG00000237541	HLA_DQA2	6	32609119	32814992	36	20	AD_kunkle2019	0.000610405	1.08268e-05	BMem
ENSG00000237541	HLA_DQA2	6	32609119	32814992	36	20	BMem_onek1k_ENSG00000237541	0.470935	4.14687e-122	BMem
ENSG00000237541	HLA_DQA2	6	32609119	32814992	5	4	AD_wightman2021	2.35723e-05	0.000407147	BMem
ENSG00000237541	HLA_DQA2	6	32609119	32814992	5	4	BMem_onek1k_ENSG00000237541	0.205885	1.73621e-48	BMem
ENSG00000237541	HLA_DQA2	6	32609119	32814992	11	7	NA	NA	NA	CD4ET
ENSG00000237541	HLA_DQA2	6	32609119	32814992	263	22	AD_kunkle2019	0.00066981	4.61797e-06	CD4NC
ENSG00000237541	HLA_DQA2	6	32609119	32814992	263	22	CD4NC_onek1k_ENSG00000237541	0.283005	1.18541e-59	CD4NC
ENSG00000237541	HLA_DQA2	6	32609119	32814992	12	8	AD_wightman2021	6.43577e-05	1.41773e-08	CD4NC
ENSG00000237541	HLA_DQA2	6	32609119	32814992	12	8	CD4NC_onek1k_ENSG00000237541	0.113972	1.82593e-23	CD4NC
ENSG00000237541	HLA_DQA2	6	32609119	32814992	511	54	AD_kunkle2019	0.000938221	4.34657e-06	CD8ET
ENSG00000237541	HLA_DQA2	6	32609119	32814992	511	54	CD8ET_onek1k_ENSG00000237541	0.792379	5.39992e-288	CD8ET
ENSG00000237541	HLA_DQA2	6	32609119	32814992	13	9	AD_wightman2021	4.58299e-05	1.16824e-05	CD8ET
ENSG00000237541	HLA_DQA2	6	32609119	32814992	13	9	CD8ET_onek1k_ENSG00000237541	0.260466	5.19829e-60	CD8ET
ENSG00000237541	HLA_DQA2	6	32609119	32814992	180	22	AD_kunkle2019	0.00041802	0.000836316	CD8NC
ENSG00000237541	HLA_DQA2	6	32609119	32814992	180	22	CD8NC_onek1k_ENSG00000237541	0.258696	4.57254e-53	CD8NC
ENSG00000237541	HLA_DQA2	6	32609119	32814992	7	4	AD_wightman2021	0.000311003	8.56136e-40	CD8NC
ENSG00000237541	HLA_DQA2	6	32609119	32814992	7	4	CD8NC_onek1k_ENSG00000237541	0.107321	6.16367e-24	CD8NC
ENSG00000237541	HLA_DQA2	6	32609119	32814992	89	20	AD_kunkle2019	0.000347222	0.00268913	MonoC
ENSG00000237541	HLA_DQA2	6	32609119	32814992	89	20	MonoC_onek1k_ENSG00000237541	0.24279	1.02984e-49	MonoC
ENSG00000237541	HLA_DQA2	6	32609119	32814992	3	2	AD_wightman2021	3.05467e-07	0.325614	MonoC
ENSG00000237541	HLA_DQA2	6	32609119	32814992	3	2	MonoC_onek1k_ENSG00000237541	0.0308912	7.86159e-08	MonoC
ENSG00000106290	TAF6	7	99604693	99817464	45	5	AD_kunkle2019	8.82769e-05	0.0579926	CD4NC
ENSG00000106290	TAF6	7	99604693	99817464	45	5	CD4NC_onek1k_ENSG00000106290	0.0281118	3.99818e-06	CD4NC
ENSG00000106290	TAF6	7	99604693	99817464	45	5	AD_wightman2021	3.67187e-05	4.46201e-06	CD4NC
ENSG00000160844	GATS	7	99698283	99969855	55	4	AD_kunkle2019	0.000200692	0.00213083	BIN
ENSG00000160844	GATS	7	99698283	99969855	55	4	BIN_onek1k_ENSG00000160844	0.0482473	1.1611e-10	BIN
ENSG00000160844	GATS	7	99698283	99969855	55	4	AD_wightman2021	4.94886e-05	4.04252e-08	BIN
ENSG00000229153	EPHA1_AS1	7	143004906	143320542	64	15	AD_kunkle2019	0.000597636	3.68609e-06	CD4NC
ENSG00000229153	EPHA1_AS1	7	143004906	143320542	64	15	CD4NC_onek1k_ENSG00000229153	0.106809	2.18202e-19	CD4NC
ENSG00000229153	EPHA1_AS1	7	143004906	143320542	64	15	AD_wightman2021	7.61099e-05	1.92683e-09	CD4NC
ENSG00000229153	EPHA1_AS1	7	143004906	143320542	18	7	AD_kunkle2019	0.000330738	0.000193898	CD8NC
ENSG00000229153	EPHA1_AS1	7	143004906	143320542	18	7	CD8NC_onek1k_ENSG00000229153	0.0551579	5.00794e-11	CD8NC
ENSG00000229153	EPHA1_AS1	7	143004906	143320542	18	7	AD_wightman2021	6.66868e-05	6.1837e-10	CD8NC
ENSG00000229153	EPHA1_AS1	7	143004906	143320542	53	15	AD_kunkle2019	0.000567732	8.21452e-06	MonoC
ENSG00000229153	EPHA1_AS1	7	143004906	143320542	53	15	MonoC_onek1k_ENSG00000229153	0.0835606	1.40035e-14	MonoC
ENSG00000229153	EPHA1_AS1	7	143004906	143320542	53	15	AD_wightman2021	7.51436e-05	6.7482e-09	MonoC
ENSG00000109920	FNBP4	11	47638072	47888995	136	6	AD_kunkle2019	0.000305588	0.000243201	BIN
ENSG00000109920	FNBP4	11	47638072	47888995	136	6	BIN_onek1k_ENSG00000109920	0.0392001	4.54749e-08	BIN
ENSG00000109920	FNBP4	11	47638072	47888995	136	6	AD_wightman2021	2.60794e-05	0.00024805	BIN
ENSG00000109920	FNBP4	11	47638072	47888995	172	6	AD_kunkle2019	0.0005702	1.38421e-07	BMem
ENSG00000109920	FNBP4	11	47638072	47888995	172	6	BMem_onek1k_ENSG00000109920	0.0458169	2.0322e-09	BMem
ENSG00000109920	FNBP4	11	47638072	47888995	172	6	AD_wightman2021	4.32725e-05	8.51319e-07	BMem
ENSG00000109920	FNBP4	11	47638072	47888995	120	4	AD_kunkle2019	0.000306035	8.44813e-05	CD4ET
ENSG00000109920	FNBP4	11	47638072	47888995	120	4	CD4ET_onek1k_ENSG00000109920	0.0305514	6.3432e-07	CD4ET
ENSG00000109920	FNBP4	11	47638072	47888995	120	4	AD_wightman2021	2.43927e-05	0.000149171	CD4ET
ENSG00000109920	FNBP4	11	47638072	47888995	234	9	AD_kunkle2019	0.000547628	1.40486e-06	CD4NC
ENSG00000109920	FNBP4	11	47638072	47888995	234	9	CD4NC_onek1k_ENSG00000109920	0.14888	3.75314e-31	CD4NC
ENSG00000109920	FNBP4	11	47638072	47888995	234	9	AD_wightman2021	5.01566e-05	4.10258e-07	CD4NC
ENSG00000109920	FNBP4	11	47638072	47888995	180	7	AD_kunkle2019	0.000550826	4.61318e-07	CD8ET
ENSG00000109920	FNBP4	11	47638072	47888995	180	7	CD8ET_onek1k_ENSG00000109920	0.0548793	5.71908e-11	CD8ET
ENSG00000109920	FNBP4	11	47638072	47888995	180	7	AD_wightman2021	4.56986e-05	6.88123e-07	CD8ET
ENSG00000109920	FNBP4	11	47638072	47888995	143	6	AD_kunkle2019	0.000519139	6.88234e-07	CD8NC
ENSG00000109920	FNBP4	11	47638072	47888995	143	6	CD8NC_onek1k_ENSG00000109920	0.0513358	1.45954e-10	CD8NC
ENSG00000109920	FNBP4	11	47638072	47888995	143	6	AD_wightman2021	4.64358e-05	2.90681e-07	CD8NC
ENSG00000258757	RP11_841O20_2	14	53007557	53208284	51	9	AD_kunkle2019	0.000241918	0.00319497	CD4ET
ENSG00000258757	RP11_841O20_2	14	53007557	53208284	51	9	CD4ET_onek1k_ENSG00000258757	0.0689144	3.0044e-13	CD4ET
ENSG00000258757	RP11_841O20_2	14	53007557	53208284	51	9	AD_wightman2021	4.16811e-05	5.4674e-06	CD4ET
ENSG00000258757	RP11_841O20_2	14	53007557	53208284	91	14	AD_kunkle2019	0.000237122	0.00877187	CD4NC
ENSG00000258757	RP11_841O20_2	14	53007557	53208284	91	14	CD4NC_onek1k_ENSG00000258757	0.126707	4.96442e-24	CD4NC
ENSG00000258757	RP11_841O20_2	14	53007557	53208284	92	14	AD_wightman2021	4.44537e-05	1.4908e-05	CD4NC
ENSG00000258757	RP11_841O20_2	14	53007557	53208284	92	14	CD4NC_onek1k_ENSG00000258757	0.126792	4.75262e-24	CD4NC
ENSG00000258757	RP11_841O20_2	14	53007557	53208284	68	11	AD_kunkle2019	0.000256971	0.00353507	CD8ET
ENSG00000258757	RP11_841O20_2	14	53007557	53208284	68	11	CD8ET_onek1k_ENSG00000258757	0.0535015	1.29773e-09	CD8ET
ENSG00000258757	RP11_841O20_2	14	53007557	53208284	69	11	AD_wightman2021	4.72922e-05	2.0088e-06	CD8ET
ENSG00000258757	RP11_841O20_2	14	53007557	53208284	69	11	CD8ET_onek1k_ENSG00000258757	0.0535398	1.27576e-09	CD8ET
ENSG00000258757	RP11_841O20_2	14	53007557	53208284	82	11	AD_kunkle2019	0.000268051	0.00266841	CD8NC
ENSG00000258757	RP11_841O20_2	14	53007557	53208284	82	11	CD8NC_onek1k_ENSG00000258757	0.0664407	3.61665e-12	CD8NC
ENSG00000258757	RP11_841O20_2	14	53007557	53208284	83	11	AD_wightman2021	3.50819e-05	9.22854e-05	CD8NC
ENSG00000258757	RP11_841O20_2	14	53007557	53208284	83	11	CD8NC_onek1k_ENSG00000258757	0.0664365	3.62369e-12	CD8NC
ENSG00000161929	SCIMP	17	5012256	5238155	178	14	AD_kunkle2019	0.000170362	0.0333333	BIN
ENSG00000161929	SCIMP	17	5012256	5238155	178	14	BIN_onek1k_ENSG00000161929	0.0747197	4.63009e-13	BIN
ENSG00000161929	SCIMP	17	5012256	5238155	179	14	AD_wightman2021	7.38504e-05	2.12457e-09	BIN
ENSG00000161929	SCIMP	17	5012256	5238155	179	14	BIN_onek1k_ENSG00000161929	0.0745976	4.89571e-13	BIN
ENSG00000161929	SCIMP	17	5012256	5238155	162	15	AD_kunkle2019	0.000155039	0.0478276	BMem
ENSG00000161929	SCIMP	17	5012256	5238155	162	15	BMem_onek1k_ENSG00000161929	0.0884453	1.43871e-15	BMem
ENSG00000161929	SCIMP	17	5012256	5238155	163	15	AD_wightman2021	8.0069e-05	5.0455e-10	BMem
ENSG00000161929	SCIMP	17	5012256	5238155	163	15	BMem_onek1k_ENSG00000161929	0.0882898	1.54744e-15	BMem
ENSG00000161929	SCIMP	17	5012256	5238155	120	10	AD_kunkle2019	0.000191346	0.0130046	CD4NC
ENSG00000161929	SCIMP	17	5012256	5238155	120	10	CD4NC_onek1k_ENSG00000161929	0.0423939	1.03698e-07	CD4NC
ENSG00000161929	SCIMP	17	5012256	5238155	121	10	AD_wightman2021	6.23605e-05	1.12924e-08	CD4NC
ENSG00000161929	SCIMP	17	5012256	5238155	121	10	CD4NC_onek1k_ENSG00000161929	0.0424462	1.01367e-07	CD4NC
